"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"1",1,0,0.569786535303777,0.3765625,0,0,0,0,0.444961240310077,0.00157728706624606,0.780821917808219,0,0.00313971742543171,0,0,0.0639625585023401,0,0.778801843317972,0.877934272300469,0.7648,0.781201848998459,0,0.00485436893203883,0,0,0,0.00163398692810458,0,0,0,0.1296875,0.0062402496099844,0,0,0,0,0,0,0.651632970451011,0.0171875,0,0.540372670807453,0.0943396226415094,0,0,0.316998468606432,0,0.155963302752294,0.68030303030303,0.816,0.028169014084507,0.00155763239875389,0.66046511627907,0,0,0,0.767036450079239,0,0.375399361022364,0,0,0,0.996835443037975,0,0,0.769706336939722,0.744945567651633,0,0.00154559505409583,0.170616113744076
"2",0,1,0,0,0,0.00632911392405063,0.12962962962963,0.154088050314465,0,0,0,0.115447154471545,0.2928,0,0,0,0.714511041009464,0,0,0,0,0.7171875,0,0,0.103503184713376,0.719874804381847,0.305331179321486,0,0.00938967136150235,0.347417840375587,0,0,0.0449438202247191,0.0338461538461538,0.953662182361734,0.961715160796325,0,0.403100775193798,0,0,0,0,0,0.112324492979719,0,0,0.0707547169811321,0,0,0,0,0,0,0.995341614906832,0,0,0,0.643192488262911,0,0,0.316045380875203,0.00158982511923688,0,0,0.352307692307692,0,0,0.348101265822785,0,0.053125
"3",0.569786535303777,0,1,0.201309328968903,0.00950871632329636,0,0,0,0.223491027732463,0.0402576489533011,0.32484076433121,0,0.00162866449511401,0.0126782884310618,0.00161290322580645,0.426016260162602,0,0.336507936507937,0.67430441898527,0.323383084577114,0.338095238095238,0,0.011744966442953,0,0,0,0,0.0524642289348172,0,0,0.0563607085346216,0.0113821138211382,0,0,0,0,0,0,0.683279742765273,0.368421052631579,0,0.998330550918197,0.198675496688742,0,0.0318791946308725,0.200956937799043,0,0.639318885448916,0.240126382306477,0.329489291598023,0.235197368421053,0.0586319218241042,0.402912621359223,0,0.0115511551155116,0,0.778702163061564,0,0.760655737704918,0.0643564356435644,0,0,0.519672131147541,0.0339256865912763,0,0.324717285945073,0.344051446945338,0,0.064,0.0032520325203252
"4",0.3765625,0,0.201309328968903,1,0.0279937791601866,0.206070287539936,0.192901234567901,0.0945736434108527,0.580952380952381,0.00161550888529887,0.466360856269113,0.0522022838499184,0.00158730158730159,0.0686427457098284,0.0376175548589342,0.190095846645367,0.00159489633173844,0.469483568075117,0.444264943457189,0.499197431781701,0.474576271186441,0.00161030595813205,0.0361842105263158,0.0309119010819165,0.15814696485623,0.0015748031496063,0.0700325732899023,0.00786163522012579,0.0145631067961165,0.0064,0.663551401869159,0.0414012738853503,0.0303030303030303,0.0186335403726708,0,0,0.0825688073394495,0,0.551724137931034,0.1,0.0507131537242472,0.289348171701113,0.058252427184466,0.150470219435737,0.0227642276422764,0.740973312401884,0.302547770700637,0.107858243451464,0.618461538461539,0.509646302250804,0.00947867298578199,0,0.658692185007974,0,0.0759289176090469,0.0228384991843393,0.4448,0,0.279620853080569,0.00474683544303797,0.00161290322580645,0.0646203554119548,0.381877022653722,0.0192,0.00311526479750779,0.457142857142857,0.500797448165869,0,0.0015527950310559,0.611197511664075
"5",0,0,0.00950871632329636,0.0279937791601866,1,0.0266875981161695,0,0.00605143721633888,0.330275229357798,0.724137931034483,0,0.003125,0,0.979010494752624,0.862385321100917,0.4640625,0,0,0,0,0,0,0.856687898089172,0.837593984962406,0.00154083204930663,0,0,0.697568389057751,0.0510046367851623,0,0.107197549770291,0.704160246533128,0.0169753086419753,0.029940119760479,0,0,0.153502235469449,0,0.0198776758409786,0.553822152886115,0.849085365853659,0.0170807453416149,0.527950310559006,0,0.906602254428341,0.0427480916030534,0,0.266272189349112,0,0,0.540958268933539,0.707317073170732,0,0,0.963779527559055,0.358974358974359,0.00934579439252336,0,0.0186625194401244,0.722480620155039,0,0.110410094637224,0,0.897990726429675,0,0,0,0,0.731003039513678,0.00152905198776758
"6",0,0.00632911392405063,0,0.206070287539936,0.0266875981161695,1,0.85511811023622,0.739469578783151,0.0473933649289099,0.00160513643659711,0,0.802610114192496,0,0.0385802469135802,0.114241001564945,0,0.26550079491256,0,0.00159489633173844,0,0,0.264943457189015,0.0703764320785597,0.0967741935483871,0.889240506329114,0.273449920508744,0.00819672131147541,0.00471698113207547,0.78594249201278,0,0.5390625,0.0351437699680511,0.832797427652733,0.798761609907121,0,0,0.787461773700306,0,0.0382775119617225,0,0.0981308411214953,0,0.00161030595813205,0.862714508580343,0,0.157320872274143,0.680645161290323,0,0.032258064516129,0,0,0.00316455696202532,0.00647249190938511,0.00924499229583975,0.0429252782193959,0.512355848434926,0.00162866449511401,0,0.0129659643435981,0.00319488817891374,0,0.819645732689211,0,0,0,0,0,0,0.00318471337579618,0.1921875
"7",0,0.12962962962963,0,0.192901234567901,0,0.85511811023622,1,0.859541984732824,0.0124804992199688,0,0,0.879365079365079,0,0.00309119010819165,0.0262345679012346,0,0.426791277258567,0,0,0,0,0.427230046948357,0.0111821086261981,0.0195488721804511,0.990740740740741,0.434715821812596,0.0144694533762058,0,0.664605873261206,0.00154083204930663,0.510108864696734,0.00154083204930663,0.763779527559055,0.703533026113671,0.0581222056631893,0.0681818181818182,0.58761329305136,0.00153846153846154,0.0122137404580153,0,0.0260336906584992,0,0,0.979813664596273,0,0.158705701078582,0.750778816199377,0,0.0332829046898638,0,0,0,0.0031104199066874,0.134351145038168,0.00156985871271586,0.355555555555556,0,0.00778816199376947,0.00465116279069767,0,0,0.6375,0,0,0.00154320987654321,0,0,0,0,0.244548286604361
"8",0,0.154088050314465,0,0.0945736434108527,0.00605143721633888,0.739469578783151,0.859541984732824,1,0.0106870229007634,0,0,0.950080515297907,0,0.0169230769230769,0.0434782608695652,0.00788643533123028,0.5,0,0,0,0,0.507086614173228,0.0145867098865478,0.0360902255639098,0.866877971473851,0.527047913446677,0.00481540930979133,0,0.740219092331768,0,0.425925925925926,0,0.856687898089172,0.782407407407407,0.069423929098966,0.0979228486646884,0.606287425149701,0.00152439024390244,0,0.00156739811912226,0.0445468509984639,0,0,0.854765506807867,0,0.0657492354740061,0.620094191522763,0,0.00151975683890578,0,0,0,0.00158227848101266,0.177195685670262,0.0188976377952756,0.4170692431562,0,0.015600624024961,0,0,0,0.657686212361331,0,0,0,0,0,0,0,0.158139534883721
"9",0.444961240310077,0,0.223491027732463,0.580952380952381,0.330275229357798,0.0473933649289099,0.0124804992199688,0.0106870229007634,1,0.237261146496815,0.389570552147239,0.00321027287319422,0,0.334355828220859,0.345256609642302,0.266141732283465,0,0.393846153846154,0.527910685805423,0.383045525902669,0.395705521472393,0,0.390675241157556,0.347496206373293,0.00952380952380952,0,0.0270700636942675,0.237577639751553,0.0141287284144427,0.00157728706624606,0.471875,0.353125,0.00476190476190476,0.00155763239875389,0,0,0.0853658536585366,0,0.54375,0.200317965023847,0.384496124031008,0.29375,0.332288401253919,0.00625,0.28830313014827,0.56221198156682,0.0652866242038217,0.224242424242424,0.452344931921331,0.418897637795276,0.182250396196513,0.207751937984496,0.541732283464567,0,0.301412872841444,0.103448275862069,0.551282051282051,0,0.279365079365079,0.228571428571429,0,0.0464,0.447619047619048,0.24251968503937,0,0.328682170542636,0.384259259259259,0,0.219435736677116,0.289099526066351
"10",0.00157728706624606,0,0.0402576489533011,0.00161550888529887,0.724137931034483,0.00160513643659711,0,0,0.237261146496815,1,0.00154798761609907,0,0,0.684952978056426,0.583333333333333,0.4976,0,0.00156739811912226,0.0144927536231884,0.00163934426229508,0.0031496062992126,0,0.677938808373591,0.624420401854714,0,0,0,0.993700787401575,0.00483870967741936,0,0.0220472440944882,0.628980891719745,0,0,0,0,0.049306625577812,0,0,0.594155844155844,0.590189873417722,0.043338683788122,0.837579617834395,0,0.809286898839138,0.0015527950310559,0,0.441400304414003,0,0.00161812297734628,0.840322580645161,0.996845425867508,0,0,0.680511182108626,0.166942148760331,0.00484652665589661,0,0.0145395799676898,0.998373983739837,0,0.0177705977382876,0,0.82615629984051,0,0,0.00316455696202532,0,0.974842767295597,0
