"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"1",1,0,0.362889983579639,0.1375,0,0,0,0,0.328682170542636,0,0.643835616438356,0,0,0,0,0.0405616224648986,0,0.583717357910906,0.874804381846635,0.616,0.590138674884438,0,0.00647249190938511,0,0,0,0,0.00154559505409583,0,0,0.0546875,0.0046801872074883,0,0,0,0,0,0,0.597200622083981,0.00625,0,0.324534161490683,0.0911949685534591,0,0,0.0796324655436447,0,0.122324159021407,0.504545454545455,0.7632,0.0312989045383412,0.00155763239875389,0.431007751937985,0,0,0,0.649762282091918,0,0.170926517571885,0,0,0,0.995253164556962,0,0,0.610510046367852,0.485225505443235,0,0,0.0458135860979463
"2",0,1,0,0,0,0,0.0694444444444444,0.166666666666667,0,0,0,0.0764227642276423,0.104,0,0,0,0.744479495268139,0,0,0,0,0.75,0,0,0.0621019108280255,0.741784037558685,0.126009693053312,0,0.0125195618153365,0.178403755868545,0.00154083204930663,0,0.0272873194221509,0.0215384615384615,0.965620328849028,0.972434915773354,0,0.184496124031008,0,0,0,0,0,0.0655226209048362,0,0,0.0235849056603774,0,0,0,0,0,0,0.984472049689441,0,0,0,0.47887323943662,0,0,0.119935170178282,0,0,0,0.153846153846154,0,0,0.147151898734177,0,0.0125
"3",0.362889983579639,0,1,0.0327332242225859,0.00316957210776545,0,0,0,0.0489396411092985,0.0161030595813204,0.0796178343949045,0,0,0.00158478605388273,0,0.417886178861789,0,0.0793650793650794,0.427168576104746,0.0845771144278607,0.0761904761904762,0,0.00335570469798658,0,0,0,0,0.0222575516693164,0,0,0.0161030595813204,0.0048780487804878,0,0,0,0,0,0,0.556270096463023,0.358552631578947,0,0.986644407345576,0.0860927152317881,0,0.00335570469798658,0.05103668261563,0,0.722910216718266,0.0568720379146919,0.0971993410214168,0.194078947368421,0.0228013029315961,0.111650485436893,0,0.00495049504950495,0,0.643926788685524,0,0.647540983606557,0.0148514851485149,0,0,0.318032786885246,0.0113085621970921,0,0.0920840064620355,0.090032154340836,0,0.0224,0.0016260162601626
"4",0.1375,0,0.0327332242225859,1,0.0248833592534992,0.282747603833866,0.307098765432099,0.147286821705426,0.471428571428571,0.00323101777059774,0.204892966360856,0.0685154975530179,0,0.062402496099844,0.0297805642633229,0.185303514376997,0.00159489633173844,0.208137715179969,0.235864297253635,0.234349919743178,0.189522342064715,0.00161030595813205,0.0263157894736842,0.00772797527047913,0.220447284345048,0.0031496062992126,0.110749185667752,0.00471698113207547,0.00161812297734628,0.0016,0.827102803738318,0.017515923566879,0.0287081339712919,0.0186335403726708,0,0,0.0565749235474006,0,0.401253918495298,0.0952380952380952,0.0364500792393027,0.125596184419714,0.0275080906148867,0.213166144200627,0.0178861788617886,0.56828885400314,0.402866242038217,0.0570107858243451,0.427692307692308,0.252411575562701,0,0,0.467304625199362,0,0.0872374798061389,0.0032626427406199,0.2592,0.00630914826498423,0.0947867298578199,0.00158227848101266,0,0.0565428109854604,0.145631067961165,0.0224,0,0.173015873015873,0.231259968102073,0,0.0015527950310559,0.555209953343701
"5",0,0,0.00316957210776545,0.0248833592534992,1,0.0204081632653061,0,0.00605143721633888,0.304281345565749,0.418495297805643,0,0,0,0.962518740629685,0.793577981651376,0.325,0,0,0,0,0,0,0.713375796178344,0.721804511278195,0,0,0,0.38145896656535,0.0324574961360124,0,0.0826952526799387,0.473035439137134,0.00617283950617284,0.0104790419161677,0,0,0.105812220566319,0,0.00917431192660551,0.414976599063963,0.757621951219512,0.0124223602484472,0.253105590062112,0,0.91304347826087,0.0183206106870229,0,0.0636094674556213,0,0,0.193199381761978,0.375,0,0,0.938582677165354,0.338141025641026,0.00311526479750779,0,0.0015552099533437,0.390697674418605,0,0.0741324921135647,0,0.880989180834621,0,0,0,0,0.437689969604863,0
"6",0,0,0,0.282747603833866,0.0204081632653061,1,0.850393700787402,0.572542901716069,0.0363349131121643,0,0,0.714518760195759,0,0.0246913580246914,0.0469483568075117,0,0.125596184419714,0,0,0,0,0.140549273021002,0.0360065466448445,0.0414746543778802,0.884493670886076,0.138314785373609,0.00163934426229508,0,0.616613418530351,0,0.4203125,0.0175718849840256,0.692926045016077,0.634674922600619,0,0,0.68960244648318,0,0.0334928229665072,0,0.0451713395638629,0,0,0.814352574102964,0,0.166666666666667,0.469354838709677,0,0.0184331797235023,0,0,0,0.00323624595469256,0.00154083204930663,0.0333863275039746,0.265238879736409,0.00488599348534202,0,0.00324149108589951,0,0,0.703703703703704,0,0,0,0,0,0,0,0.1546875
"7",0,0.0694444444444444,0,0.307098765432099,0,0.850393700787402,1,0.694656488549618,0.0093603744149766,0,0,0.741269841269841,0,0,0.00154320987654321,0,0.291277258566978,0,0,0,0,0.289514866979656,0,0,0.987654320987654,0.293394777265745,0.0209003215434084,0,0.471406491499227,0.00154083204930663,0.451010886469673,0,0.588976377952756,0.533026113671275,0.0238450074515648,0.0151515151515152,0.477341389728097,0.00153846153846154,0.00763358778625954,0,0.00306278713629403,0,0,0.944099378881988,0,0.197226502311248,0.554517133956386,0,0.0196671709531014,0,0,0,0.0031104199066874,0.083969465648855,0.00313971742543171,0.120634920634921,0,0.00623052959501558,0,0,0,0.5109375,0,0,0.00154320987654321,0,0,0.0031496062992126,0,0.233644859813084
"8",0,0.166666666666667,0,0.147286821705426,0.00605143721633888,0.572542901716069,0.694656488549618,1,0.0213740458015267,0,0,0.884057971014493,0,0.0307692307692308,0.0295031055900621,0.0220820189274448,0.441176470588235,0,0,0,0,0.45511811023622,0.0145867098865478,0.0210526315789474,0.716323296354992,0.489953632148377,0.00481540930979133,0,0.575899843505477,0.00154798761609907,0.325617283950617,0.00154320987654321,0.737261146496815,0.640432098765432,0.0812407680945347,0.0786350148367952,0.5,0.00152439024390244,0.00153609831029186,0.00470219435736677,0.0291858678955453,0,0,0.6732223903177,0,0.0611620795107034,0.317111459968603,0,0,0,0,0,0,0.206471494607088,0.0362204724409449,0.239935587761675,0,0.0280811232449298,0,0,0,0.524564183835182,0,0.00156985871271586,0,0,0,0,0,0.106976744186047
"9",0.328682170542636,0,0.0489396411092985,0.471428571428571,0.304281345565749,0.0363349131121643,0.0093603744149766,0.0213740458015267,1,0.132165605095541,0.196319018404908,0,0,0.282208588957055,0.398133748055988,0.174803149606299,0,0.216923076923077,0.413078149920255,0.172684458398744,0.226993865030675,0,0.451768488745981,0.389984825493171,0.00476190476190476,0,0.0382165605095541,0.130434782608696,0.0125588697017268,0.00157728706624606,0.5,0.353125,0.00476190476190476,0.00623052959501558,0,0,0.0746951219512195,0,0.4703125,0.109697933227345,0.415503875968992,0.13125,0.253918495297806,0.0046875,0.248764415156507,0.357910906298003,0.0939490445859873,0.134848484848485,0.328290468986384,0.237795275590551,0.110935023771791,0.103875968992248,0.395275590551181,0,0.23861852433281,0.136288998357964,0.448717948717949,0,0.0777777777777778,0.147619047619048,0,0.0352,0.304761904761905,0.190551181102362,0,0.136434108527132,0.16820987654321,0,0.125391849529781,0.233807266982622
"10",0,0,0.0161030595813204,0.00323101777059774,0.418495297805643,0,0,0,0.132165605095541,1,0,0,0,0.36833855799373,0.311320754716981,0.2448,0,0,0.0128824476650564,0,0,0,0.394524959742351,0.366306027820711,0,0,0,0.985826771653543,0.00161290322580645,0,0.0031496062992126,0.353503184713376,0,0.0015625,0,0,0.0138674884437596,0,0,0.337662337662338,0.30379746835443,0.0176565008025682,0.81687898089172,0,0.485903814262023,0.0031055900621118,0,0.231354642313546,0,0,0.758064516129032,0.993690851735016,0,0,0.354632587859425,0.0528925619834711,0,0,0.00161550888529887,0.960975609756098,0,0.00161550888529887,0,0.532695374800638,0,0,0,0,0.904088050314465,0
