"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"1",1,0,0.3392,0.201907790143084,0,0,0,0,0.412420382165605,0,0.697262479871176,0,0.00458715596330275,0,0,0.0200617283950617,0,0.66403785488959,0.856913183279743,0.677265500794913,0.670906200317965,0,0.00464396284829721,0,0,0,0.00308166409861325,0,0,0,0.0377668308702791,0.0015600624024961,0,0,0,0,0,0,0.560250391236307,0.00457317073170732,0,0.330757341576507,0.0665634674922601,0,0,0.0877742946708464,0,0.106858054226475,0.658576051779935,0.819334389857369,0.0269413629160063,0,0.537842190016103,0,0,0,0.602218700475436,0,0.0814132104454685,0,0,0,1,0,0,0.661341853035144,0.592709984152139,0,0,0.101246105919003
"2",0,1,0,0,0,0,0.0653188180404355,0.209408194233687,0,0,0,0.0665634674922601,0.048062015503876,0,0,0,0.821596244131455,0,0,0,0,0.826984126984127,0,0,0.0584518167456556,0.834346504559271,0.0945736434108527,0,0.00626959247648903,0.113782051282051,0.00164744645799012,0,0.0338461538461538,0.0125786163522013,0.96984126984127,0.9792,0,0.125757575757576,0,0,0,0,0,0.0596546310832025,0,0,0.0211038961038961,0,0,0,0,0,0,0.984301412872841,0,0,0,0.517184942716858,0,0,0.0710900473933649,0,0,0,0.109697933227345,0,0,0.0949367088607595,0,0.0109034267912773
"3",0.3392,0,1,0.0990415335463259,0.00476190476190476,0,0,0,0.152733118971061,0.0277349768875193,0.108589951377634,0,0,0.0063391442155309,0,0.4296875,0,0.1078125,0.478468899521531,0.103833865814696,0.108974358974359,0,0.0155038759689922,0,0,0,0,0.0324149108589951,0,0,0.0227272727272727,0.0110759493670886,0,0,0,0,0,0,0.602523659305994,0.383076923076923,0,0.965189873417722,0.17981072555205,0,0.0112903225806452,0.0766773162939297,0,0.768,0.0775444264943457,0.120689655172414,0.2734375,0.0352,0.162903225806452,0,0.00476190476190476,0,0.699842022116904,0,0.436335403726708,0.0316957210776545,0,0,0.334394904458599,0.0112359550561798,0,0.107317073170732,0.110754414125201,0,0.033167495854063,0.00156985871271586
"4",0.201907790143084,0,0.0990415335463259,1,0.0873015873015873,0.253869969040248,0.282608695652174,0.132420091324201,0.489731437598736,0.0157232704402516,0.168810289389068,0.0900621118012422,0,0.150159744408946,0.0963665086887836,0.296998420221169,0,0.181959564541213,0.28921568627451,0.194888178913738,0.189710610932476,0,0.0820433436532508,0.0660225442834139,0.242857142857143,0,0.118564742589704,0.0208333333333333,0.00475435816164818,0.00793650793650794,0.788685524126456,0.0236593059936909,0.0613207547169811,0.018957345971564,0,0,0.111287758346582,0,0.396825396825397,0.230889235569423,0.104938271604938,0.2208,0.0702028081123245,0.195238095238095,0.0937996820349762,0.305379746835443,0.218298555377207,0.130990415335463,0.363934426229508,0.27373417721519,0.0240770465489567,0.0113452188006483,0.373182552504039,0,0.162420382165605,0.0142630744849445,0.287781350482315,0.0165016501650165,0.0419906687402799,0.0141287284144427,0,0.0808709175738725,0.215088282504013,0.0895765472312704,0.00325732899022801,0.169902912621359,0.198697068403909,0,0.0180623973727422,0.430359937402191
"5",0,0,0.00476190476190476,0.0873015873015873,1,0.0243161094224924,0,0,0.32807570977918,0.499227202472952,0,0,0,0.968454258675079,0.774691358024691,0.375,0,0,0,0,0,0,0.74884437596302,0.747663551401869,0,0,0,0.463651050080775,0.0154559505409583,0,0.143317230273752,0.327044025157233,0,0.00156985871271586,0,0,0.103875968992248,0,0.0173228346456693,0.416036308623298,0.769470404984424,0.0251177394034537,0.299373040752351,0,0.911433172302738,0.0046801872074883,0,0.0933544303797468,0,0,0.236507936507937,0.468998410174881,0,0,0.947932618683001,0.238993710691824,0.00316957210776545,0,0,0.478125,0,0.0581039755351682,0,0.874403815580286,0,0,0,0,0.505691056910569,0
"6",0,0,0,0.253869969040248,0.0243161094224924,1,0.846616541353383,0.601470588235294,0.024653312788906,0.00151285930408472,0,0.766116941529235,0,0.0247295208655332,0.0900763358778626,0.00149253731343284,0.0639269406392694,0,0,0,0,0.0752351097178683,0.0585585585585586,0.0706605222734255,0.864535768645358,0.0691729323308271,0.0120481927710843,0.00313479623824451,0.662576687116564,0,0.536163522012579,0.0228658536585366,0.761689291101056,0.684210526315789,0,0,0.789554531490015,0,0.0264385692068429,0,0.0675675675675676,0,0,0.757847533632287,0.00308166409861325,0.0576631259484067,0.241379310344828,0,0.0158730158730159,0,0,0,0,0.00150602409638554,0.0288315629742033,0.421052631578947,0.0015527950310559,0,0.00151515151515152,0.00151515151515152,0,0.788288288288288,0,0,0,0,0,0,0,0.0695915279878971
"7",0,0.0653188180404355,0,0.282608695652174,0,0.846616541353383,1,0.762686567164179,0,0,0,0.815987933634992,0,0,0.0138248847926267,0,0.218798151001541,0,0,0,0,0.233644859813084,0,0.00762195121951219,0.992150706436421,0.214605067064083,0.0440060698027314,0,0.517611026033691,0,0.530448717948718,0,0.711450381679389,0.573872472783826,0.0356589147286822,0.0230061349693252,0.567278287461774,0,0.00772797527047913,0,0.0105421686746988,0,0,0.896604938271605,0,0.0909090909090909,0.325,0,0.0096,0,0,0,0,0.0697674418604651,0,0.232449297971919,0,0.00956937799043062,0.00151515151515152,0,0,0.580060422960725,0,0,0,0,0,0,0,0.12012012012012
"8",0,0.209408194233687,0,0.132420091324201,0,0.601470588235294,0.762686567164179,1,0,0,0,0.855457227138643,0,0.00460122699386503,0.0151285930408472,0.00447093889716841,0.419161676646707,0,0,0,0,0.43531202435312,0.00147275405007364,0.0104790419161677,0.751533742331288,0.433333333333333,0.0195195195195195,0,0.553571428571429,0,0.38863287250384,0,0.747058823529412,0.599697885196375,0.138508371385084,0.1,0.526475037821483,0,0,0,0.0118343195266272,0,0,0.66467958271237,0,0.00599700149925037,0.179723502304147,0,0,0,0,0,0,0.246246246246246,0.00452488687782805,0.289592760180996,0,0.0459418070444104,0,0,0,0.528358208955224,0,0,0,0,0,0,0,0.0517751479289941
"9",0.412420382165605,0,0.152733118971061,0.489731437598736,0.32807570977918,0.024653312788906,0,0,1,0.160436137071651,0.229793977812995,0.00153374233128834,0,0.351735015772871,0.41185647425897,0.23159509202454,0,0.273155416012559,0.511923688394277,0.228615863141524,0.3088,0,0.425269645608629,0.402799377916019,0,0,0.00775193798449612,0.182829888712242,0.00154798761609907,0,0.356913183279743,0.270998415213946,0.0015552099533437,0,0,0,0.0829420970266041,0,0.515625,0.165137614678899,0.427692307692308,0.206521739130435,0.271585557299843,0,0.343898573692552,0.155038759689922,0.0110410094637224,0.1850699844479,0.365384615384615,0.348031496062992,0.141965678627145,0.1256038647343,0.357710651828299,0,0.296411856474259,0.0834645669291339,0.51510333863275,0,0.0514018691588785,0.160796324655436,0,0.0184049079754601,0.404761904761905,0.229665071770335,0,0.172302737520129,0.214285714285714,0,0.15609756097561,0.170731707317073
"10",0,0,0.0277349768875193,0.0157232704402516,0.499227202472952,0.00151285930408472,0,0,0.160436137071651,1,0,0,0,0.4421875,0.335375191424196,0.322727272727273,0,0,0.00778816199376947,0,0,0,0.484802431610942,0.422492401215805,0,0,0,0.993710691823899,0,0,0.0271132376395534,0.213953488372093,0,0,0,0,0.0307219662058372,0,0,0.380664652567976,0.346094946401225,0.0338461538461538,0.820031298904538,0,0.523809523809524,0,0,0.265625,0,0,0.742283950617284,0.998447204968944,0,0,0.462015503875969,0.0354938271604938,0,0,0,0.980213089802131,0,0.00910470409711684,0,0.623622047244095,0,0,0,0,0.963375796178344,0
