"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"1",1,0,0.424,0.279809220985692,0,0,0,0,0.461783439490446,0,0.800322061191626,0,0.00458715596330275,0,0,0.0262345679012346,0,0.774447949526814,0.869774919614148,0.783783783783784,0.771065182829889,0,0.00154798761609907,0,0,0,0.00154083204930663,0,0,0,0.0361247947454844,0.0031201248049922,0,0,0,0,0,0,0.597809076682316,0.00304878048780488,0,0.384853168469861,0.0712074303405573,0,0,0.166144200626959,0,0.124401913875598,0.687702265372168,0.852614896988906,0.0301109350237718,0,0.677938808373591,0,0,0,0.665610142630745,0,0.153609831029186,0,0,0,1,0,0,0.792332268370607,0.729001584786054,0,0.00163398692810458,0.182242990654206
"2",0,1,0,0,0,0.00151975683890578,0.0870917573872473,0.195751138088012,0,0,0,0.0897832817337461,0.105426356589147,0,0,0,0.843505477308294,0,0,0,0,0.861904761904762,0,0,0.0853080568720379,0.848024316109423,0.175193798449612,0,0.0141065830721003,0.179487179487179,0,0,0.0584615384615385,0.0267295597484277,0.958730158730159,0.9712,0,0.189393939393939,0,0,0,0,0,0.0879120879120879,0,0,0.0340909090909091,0,0,0,0,0,0,0.982731554160126,0,0,0,0.610474631751228,0,0,0.145339652448657,0,0,0,0.155802861685215,0,0,0.161392405063291,0,0.0233644859813084
"3",0.424,0,1,0.134185303514377,0.00476190476190476,0,0,0,0.196141479099678,0.0431432973805855,0.215559157212318,0,0.0015625,0.00792393026941363,0.00158478605388273,0.434375,0,0.21875,0.51993620414673,0.226837060702875,0.209935897435897,0,0.0108527131782946,0,0,0,0,0.0421393841166937,0,0,0.0162337662337662,0.00791139240506329,0,0,0,0,0,0,0.621451104100946,0.389230769230769,0,0.979430379746835,0.176656151419558,0,0.0193548387096774,0.119808306709265,0,0.7152,0.163166397415186,0.231974921630094,0.3015625,0.0528,0.262903225806452,0,0.0126984126984127,0,0.71563981042654,0,0.540372670807453,0.0427892234548336,0,0,0.412420382165605,0.0353130016051364,0,0.232520325203252,0.229534510433387,0,0.0497512437810945,0.00941915227629513
"4",0.279809220985692,0,0.134185303514377,1,0.0936507936507937,0.219814241486068,0.237577639751553,0.115677321156773,0.530805687203792,0.0188679245283019,0.29903536977492,0.0791925465838509,0.00158730158730159,0.161341853035144,0.0932069510268562,0.273301737756714,0,0.32348367029549,0.380718954248366,0.346645367412141,0.29903536977492,0,0.0743034055727554,0.0595813204508857,0.198412698412698,0,0.0842433697347894,0.0256410256410256,0.0158478605388273,0.00793650793650794,0.683860232945091,0.0488958990536278,0.0550314465408805,0.0300157977883096,0,0,0.104928457869634,0,0.482539682539683,0.195007800312012,0.118827160493827,0.2512,0.0811232449297972,0.155555555555556,0.0985691573926868,0.417721518987342,0.248796147672552,0.129392971246006,0.481967213114754,0.363924050632911,0.0321027287319422,0.0129659643435981,0.500807754442649,0,0.162420382165605,0.0253565768621236,0.361736334405145,0.00825082508250825,0.105754276827372,0.0204081632653061,0,0.0762052877138414,0.296950240770466,0.0879478827361563,0.00325732899022801,0.312297734627832,0.311074918566775,0.00158227848101266,0.013136288998358,0.511737089201878
"5",0,0,0.00476190476190476,0.0936507936507937,1,0.0410334346504559,0,0,0.321766561514196,0.605873261205564,0,0,0,0.970031545741325,0.833333333333333,0.412037037037037,0,0,0.00317965023847377,0,0,0,0.810477657935285,0.792834890965732,0,0,0,0.602584814216478,0.044822256568779,0,0.151368760064412,0.418238993710692,0.00462962962962963,0.0188383045525903,0,0,0.134883720930233,0,0.0236220472440945,0.490166414523449,0.819314641744548,0.0204081632653061,0.421630094043887,0,0.922705314009662,0.0078003120124805,0,0.169303797468354,0,0,0.33968253968254,0.578696343402226,0,0,0.957120980091884,0.25314465408805,0.0063391442155309,0,0.00153846153846154,0.59375,0,0.0825688073394495,0,0.866454689984102,0,0,0,0,0.609756097560976,0
"6",0,0.00151975683890578,0,0.219814241486068,0.0410334346504559,1,0.855639097744361,0.691176470588235,0.0308166409861325,0.00453857791225416,0,0.794602698650675,0,0.0432766615146832,0.122137404580153,0.00149253731343284,0.101978691019787,0,0,0,0,0.112852664576803,0.0840840840840841,0.0967741935483871,0.879756468797565,0.118796992481203,0.00753012048192771,0.00470219435736677,0.763803680981595,0,0.586477987421384,0.0411585365853659,0.812971342383107,0.766917293233083,0,0,0.814132104454685,0,0.015552099533437,0,0.103603603603604,0,0.00151515151515152,0.8101644245142,0.00924499229583975,0.0728376327769348,0.376175548589342,0,0.0126984126984127,0,0,0.00311526479750779,0,0.00150602409638554,0.047040971168437,0.563467492260062,0.0015527950310559,0,0.00151515151515152,0.00454545454545455,0,0.846846846846847,0,0.00458715596330275,0,0,0,0,0.00158478605388273,0.065052950075643
"7",0,0.0870917573872473,0,0.237577639751553,0,0.855639097744361,1,0.826865671641791,0.00154320987654321,0,0,0.861236802413273,0,0.0015600624024961,0.0168970814132104,0,0.24191063174114,0,0,0,0,0.247663551401869,0.0075642965204236,0.013719512195122,0.987441130298273,0.253353204172876,0.0333839150227618,0,0.623277182235835,0.003125,0.586538461538462,0.0031201248049922,0.798473282442748,0.667185069984448,0.0310077519379845,0.044478527607362,0.616207951070336,0,0.00618238021638331,0,0.0180722891566265,0,0,0.915123456790123,0,0.101694915254237,0.459375,0,0.0224,0.00154083204930663,0,0,0.00156985871271586,0.0821705426356589,0,0.379095163806552,0.00154083204930663,0.00797448165869218,0.00151515151515152,0,0,0.649546827794562,0,0,0,0,0,0,0,0.124624624624625
"8",0,0.195751138088012,0,0.115677321156773,0,0.691176470588235,0.826865671641791,1,0.00150602409638554,0,0,0.915929203539823,0,0.00153374233128834,0.0317700453857791,0.0029806259314456,0.374251497005988,0,0,0,0,0.392694063926941,0.00736377025036819,0.0209580838323353,0.831288343558282,0.417391304347826,0.0105105105105105,0,0.668154761904762,0.00151975683890578,0.459293394777266,0.00148588410104012,0.839705882352941,0.725075528700906,0.101978691019787,0.1,0.579425113464448,0.00287769784172662,0,0,0.0310650887573964,0,0,0.761549925484352,0,0.0179910044977511,0.314900153609831,0,0,0,0,0,0,0.201201201201201,0.00150829562594268,0.420814479638009,0,0.0413476263399694,0,0,0.00149476831091181,0.63134328358209,0,0,0,0,0,0.00150602409638554,0,0.0562130177514793
"9",0.461783439490446,0,0.196141479099678,0.530805687203792,0.321766561514196,0.0308166409861325,0.00154320987654321,0.00150602409638554,1,0.218068535825545,0.347068145800317,0,0.0015552099533437,0.321766561514196,0.357254290171607,0.271472392638037,0,0.384615384615385,0.573926868044515,0.340590979782271,0.3776,0,0.389830508474576,0.342146189735614,0.00157232704402516,0,0.013953488372093,0.220985691573927,0.00619195046439629,0,0.334405144694534,0.263074484944533,0,0,0,0,0.0594679186228482,0,0.584375,0.206422018348624,0.376923076923077,0.259316770186335,0.343799058084772,0.00156494522691706,0.316957210776545,0.266666666666667,0.0331230283911672,0.225505443234837,0.442307692307692,0.401574803149606,0.199687987519501,0.170692431561997,0.494435612082671,0,0.28393135725429,0.062992125984252,0.562798092209857,0,0.121495327102804,0.231240428790199,0,0.0184049079754601,0.477777777777778,0.248803827751196,0,0.310789049919485,0.338095238095238,0,0.208130081300813,0.253048780487805
"10",0,0,0.0431432973805855,0.0188679245283019,0.605873261205564,0.00453857791225416,0,0,0.218068535825545,1,0,0,0,0.56875,0.479326186830015,0.422727272727273,0,0,0.00311526479750779,0,0,0,0.59726443768997,0.551671732522796,0,0,0,0.992138364779874,0,0,0.0303030303030303,0.31937984496124,0,0,0,0,0.0384024577572965,0,0.00154083204930663,0.483383685800604,0.474732006125574,0.0507692307692308,0.827856025039124,0,0.661904761904762,0,0,0.340625,0,0,0.760802469135803,0.998447204968944,0,0,0.562790697674419,0.0524691358024691,0.00313479623824451,0,0.00154083204930663,0.983257229832572,0,0.0136570561456753,0,0.755905511811024,0,0,0,0,0.979299363057325,0
