instance	a0_median	a0_mad	a0.1_median	a0.1_mad	a0.2_median	a0.2_mad	a0.3_median	a0.3_mad	a0.4_median	a0.4_mad	a0.5_median	a0.5_mad	a0.6_median	a0.6_mad	a0.7_median	a0.7_mad	a0.8_median	a0.8_mad	a0.9_median	a0.9_mad	a1_median	a1_mad
1	1.22788641972744	0.0623956385974123	1.21486076586215	0.0706025451220915	1.30926625858868	0.100395803320199	1.38629721462789	0.141477382451794	1.42339381294845	0.172702201094404	1.55819462256651	0.221174691686785	1.63727270282863	0.264913407314453	1.64251732035753	0.27469928876933	1.69425845034589	0.324616302413887	1.76196865360777	0.384958905636376	1.87707870973623	0.434462949813231
2	0.881530680471625	0.109214672549568	0.913013557899349	0.0831552844594766	0.881860646768686	0.109190865185544	0.869533519221221	0.123713331068976	0.868921740710681	0.127510971468642	0.847165546961492	0.152225229565876	0.841313599809349	0.163755947345366	0.850870260877184	0.155153845849685	0.829931022033475	0.158870953559713	0.83179528884085	0.163482908386948	0.799222111448119	0.174986213490877
3	1.3847596282679	0.120136192105083	1.32514810576922	0.149121324844891	1.38449621809428	0.17789322707811	1.40557493739359	0.235166354652674	1.35111110595196	0.238653100093702	1.42854908550805	0.306254016205413	1.43450691204937	0.329598325747963	1.3498466822341	0.299006870454276	1.35710483751865	0.324546076890989	1.377879617065	0.322371608950723	1.48119414304685	0.40028854725457
4	1.07290767741983	0.0183127656030196	1.23663998064974	0.09193172894179	1.4092982204389	0.191243556613566	1.55553138972646	0.259005202606355	1.61801874052521	0.288132623039921	1.74102411819715	0.361433926801254	1.86097836786707	0.425911312346393	1.78741833227943	0.418716993154576	1.85165032683642	0.449449668111362	1.86461331746132	0.473608003853339	2.03119853075635	0.576320105448656
5	0.744813666593497	0.0418978352195631	0.729649304291944	0.0561244392346276	0.684073679338381	0.058177740720263	0.654533110585754	0.0680063494966059	0.663555631302822	0.0709196956366473	0.627474642850248	0.0684761287123654	0.614403305776646	0.0740004030464982	0.629666209317329	0.076311224559194	0.620095567494221	0.0772322898741334	0.611216002182973	0.0761350012828528	0.58186913438109	0.087006874887188
6	0.816417817893264	0.0291249554795693	0.824990508529533	0.0495380851859247	0.809247600745736	0.0564357917866752	0.812430929241345	0.0593349417265583	0.832585582358734	0.0630054320281764	0.821068335833862	0.0688186783180649	0.827290025664544	0.067692973018246	0.854139945074876	0.0770921470037559	0.849754827341927	0.0843368852677759	0.848497866945173	0.0890639804881004	0.84453830478645	0.0928952537919004
7	0.862437399071353	0.025894697747325	0.985053808775922	0.0787580125954465	0.997947736397313	0.128748550090649	1.00223317916754	0.154766839445778	1.00867444656904	0.156624357882113	1.00374085238873	0.179959012461781	1.00639654791122	0.186914212312823	1.00947886727109	0.175942873802021	1.01332335428509	0.190435261928528	1.01184642154424	0.180245143215523	1.0185266316825	0.221364402511433
8	0.738762099033255	0.0336731023961274	0.849739914833421	0.0577105244487847	0.849682673445076	0.0773178980519956	0.857836096311581	0.0896723984787303	0.873075975962572	0.0962171107687632	0.865249006938617	0.116293540703487	0.871658277912134	0.126231800070227	0.872868129239843	0.120148227163632	0.876398539105321	0.132177543209382	0.885853469884217	0.14272199328774	0.870595687316402	0.15657376443053
9	0.99272908572182	0.0310373580836901	0.893046022449418	0.040193494886965	0.863764764937655	0.0514329781373593	0.837515364094588	0.0558118216899949	0.830026162468072	0.0625344084817619	0.799886534995816	0.0777569464509584	0.781738249337915	0.0794698179086255	0.772541736952054	0.0827468781669069	0.76502113888397	0.0848999477731825	0.75471812387767	0.0945941538915187	0.724083098080371	0.101929297012984
10	1.04282106061281	0.0727757426243259	0.908446353403911	0.0883500513543907	0.911677179164388	0.108380862433575	0.9272617348687	0.111905848914154	0.961378948887312	0.113629336571401	0.96390857585208	0.133662471780637	0.980443087910277	0.147377089870407	1.01832296007824	0.146613482470178	1.0340083683069	0.16548947480595	1.03773275823819	0.156908432273841	1.05005016451846	0.205759348853498
11	1.64574430725378	0.091337176776266	1.59478573918519	0.184773721880128	1.77254747948038	0.249360236959691	1.936229320896	0.29288136474235	1.93944238840084	0.312991887784016	2.18372197476806	0.414008992519824	2.28633563163197	0.442626504009422	2.21806318217667	0.462547140790443	2.27204950674218	0.501899095588383	2.35496230298512	0.529669352187796	2.62405365143887	0.683473844141475
12	0.652685846242026	0.0354992288252692	0.727956740804962	0.0528043685738266	0.689107295745807	0.0512913656882928	0.670390580457697	0.0550687653208702	0.68499752462358	0.0554342574030968	0.651685391287104	0.0500983599712898	0.643633448236314	0.0503581311422222	0.658572000997778	0.0522915002590477	0.652976079568745	0.0536290173078807	0.648965337873122	0.0536854485676877	0.619861476300156	0.0538023760358816
13	2.06552235453143	0.217504172761409	1.80718380848278	0.334593034050688	1.94073955278688	0.391324730849606	1.99401577585698	0.469180444512402	1.86870819223848	0.436335215863014	2.04780335165312	0.525310818587306	2.07743539440624	0.507349055961437	1.92945300286276	0.499717237714359	1.93495197137257	0.50929344560533	1.97236803771605	0.538638237868326	2.16536507901958	0.690678400839319
14	0.866114344959745	0.0385650042892149	0.856467535036167	0.0497698831859228	0.838652067528453	0.0611203374123487	0.83631054713321	0.069113328046512	0.849600255243617	0.0724090088290147	0.838659847480109	0.0842796014629801	0.843351727691227	0.0859871010358193	0.860700476459825	0.0896798958848226	0.870277239517713	0.0982464979754479	0.857133403784781	0.107074679681646	0.849390832396075	0.112944668927834
16	0.750791699448654	0.0413163277663862	0.786040197978006	0.0592254797278204	0.772749530086343	0.065727050173396	0.779414054473745	0.080098834801231	0.790475403283448	0.0832731577276523	0.776250674596317	0.0983531429953149	0.780842667503487	0.102345250318667	0.795812737572409	0.0990504523975272	0.802222929539484	0.108063201183929	0.799650096500328	0.111272672957385	0.780810774521123	0.121046138926133
17	1.23093313433955	0.0433986310875028	0.951437668383114	0.0705388985309091	0.901622033842302	0.0821636046214584	0.869250916089576	0.0937598347151857	0.863312296940029	0.0915922229873858	0.841305038287377	0.106300308433259	0.820596582895129	0.114450275860085	0.827326067108402	0.118411178761771	0.826439528996556	0.120039445509341	0.815605499593784	0.128907550787135	0.800601685788364	0.129254011676437
18	0.610897709017569	0.0591525385663799	0.747296265058663	0.0651981234668752	0.730576894487809	0.0738274442842416	0.724315434391439	0.0790280194240937	0.750263845667088	0.0769893064022187	0.726605592200875	0.093160312776293	0.724781742913788	0.100290077463058	0.75672811877018	0.107007320730395	0.762437632804654	0.108197204539003	0.768858755751627	0.116835769038873	0.74486433016315	0.116538643734118
20	1.52634059811173	0.0810747221136305	1.54345758197993	0.179731127519415	1.86750639945703	0.31483041717375	2.18570260642272	0.462913807112428	2.29014336732211	0.51818143371124	2.78159916742331	0.677870328582532	3.06298295776791	0.831428590503644	3.09414802281637	0.889684301700533	3.35516720002527	1.08346130815895	3.58417038004708	1.09850917281138	4.37830570443382	1.48733286183007
21	1.25508819437764	0.0670645072092435	1.19351169920491	0.0741616684768164	1.20587203233046	0.0877525363342754	1.21483917211967	0.111288168285946	1.21076734518416	0.108692621916059	1.2496952506827	0.134875012977959	1.25743113372595	0.145579620371583	1.25311770202762	0.14531527301576	1.2651126109404	0.162040422309258	1.27648936948763	0.158251050789109	1.30274318925063	0.200118149025095
22	1.6903852289326	0.115506899275043	1.72629496688808	0.272508449090933	1.93175457962943	0.327482165763519	2.01840970254165	0.403300825994664	1.91965125114863	0.425599624015275	2.09180721730128	0.434401736741491	2.15993130063557	0.519054047134299	1.97481536888259	0.502005232581746	2.0195195694266	0.535609171506111	2.00241743018004	0.507046528441253	2.22126047228071	0.599590850267126
23	1.46773887037069	0.0654020528909109	1.40150148768474	0.133994698963069	1.51033861053095	0.172343476952547	1.59131832443766	0.20376244099752	1.60155851586403	0.226990172230433	1.74725420457676	0.295387363713233	1.82903441992527	0.31466158450138	1.75886017657898	0.321285805997536	1.83039432614405	0.342483694675166	1.86743422011372	0.375411371443615	2.02848378484258	0.452028713628209
24	0.741238332676509	0.0694765370895368	0.806560244560233	0.0710374061522872	0.777794656198332	0.0802346595652073	0.759916057718245	0.0902074599247057	0.776044501056406	0.103354304750009	0.756726427366692	0.104172244647704	0.763400629170216	0.107472877068552	0.772555303949827	0.112975542142896	0.774759922027253	0.12573040746085	0.775132522910369	0.123865683323345	0.758399893883634	0.133715461112535
