a0	a0.1	a0.2	a0.3	a0.4	a0.5	a0.6	a0.7	a0.8	a0.9	a1
316.267908833821	3.16267908833821	1.5813395441691	1.0542263627794	0.790669772084552	0.632535817667642	0.527113181389702	0.45181129833403	0.395334886042276	0.351408787593135	0.316267908833821
301.893044282068	3.01893044282068	1.50946522141034	1.00631014760689	0.75473261070517	0.603786088564136	0.503155073803447	0.431275777545812	0.377366305352585	0.335436715868965	0.301893044282068
288.171539508875	2.88171539508875	1.44085769754438	0.960571798362917	0.720428848772188	0.57634307901775	0.480285899181459	0.411673627869822	0.360214424386094	0.320190599454306	0.288171539508875
275.073698303978	2.75073698303978	1.37536849151989	0.916912327679928	0.687684245759946	0.550147396607957	0.458456163839964	0.39296242614854	0.343842122879973	0.305637442559976	0.275073698303978
262.571174195701	2.62571174195701	1.3128558709785	0.875237247319002	0.656427935489251	0.525142348391401	0.437618623659501	0.375101677422429	0.328213967744626	0.291745749106334	0.262571174195701
250.63690910325	2.5063690910325	1.25318454551625	0.835456363677499	0.626592272758124	0.5012738182065	0.41772818183875	0.358052727290357	0.313296136379062	0.278485454559166	0.25063690910325
239.245074777364	2.39245074777364	1.19622537388682	0.797483582591213	0.59811268694341	0.478490149554728	0.398741791295607	0.341778678253377	0.299056343471705	0.265827860863738	0.239245074777364
228.371016902571	2.28371016902571	1.14185508451286	0.761236723008571	0.570927542256429	0.456742033805143	0.380618361504286	0.326244309860816	0.285463771128214	0.253745574336191	0.228371016902571
217.991201740087	2.17991201740087	1.08995600870044	0.726637339133623	0.544978004350218	0.435982403480174	0.363318669566812	0.311416002485839	0.272489002175109	0.242212446377875	0.217991201740087
208.083165195873	2.08083165195873	1.04041582597937	0.693610550652911	0.520207912989683	0.416166330391747	0.346805275326455	0.297261664565533	0.260103956494842	0.231203516884304	0.208083165195873
198.625464203635	1.98625464203635	0.993127321018176	0.662084880678784	0.496563660509088	0.39725092840727	0.331042440339392	0.28375066314805	0.248281830254544	0.220694960226261	0.198625464203635
189.597630317534	1.89597630317534	0.947988151587671	0.631992101058447	0.473994075793835	0.379195260635068	0.315996050529223	0.270853757596477	0.236997037896918	0.210664033686149	0.189597630317534
180.980125414184	1.80980125414184	0.904900627070918	0.603267084713945	0.452450313535459	0.361960250828367	0.301633542356973	0.258543036305977	0.22622515676773	0.201089028237982	0.180980125414184
172.754299408058	1.72754299408058	0.863771497040291	0.575847664693527	0.431885748520146	0.345508598816117	0.287923832346764	0.246791856297226	0.215942874260073	0.191949221564509	0.172754299408058
164.902349888802	1.64902349888802	0.824511749444012	0.549674499629341	0.412255874722006	0.329804699777605	0.274837249814671	0.235574785555432	0.206127937361003	0.183224833209781	0.164902349888802
157.407283593085	1.57407283593085	0.787036417965426	0.524690945310284	0.393518208982713	0.314814567186171	0.262345472655142	0.224867547990122	0.196759104491357	0.174896981770095	0.157407283593085
150.25287962762	1.5025287962762	0.751264398138102	0.500842932092068	0.375632199069051	0.300505759255241	0.250421466046034	0.214646970896601	0.187816099534526	0.16694764403069	0.15025287962762
143.423654363755	1.43423654363755	0.717118271818774	0.478078847879183	0.358559135909387	0.28684730872751	0.239039423939591	0.204890934805364	0.179279567954694	0.159359615959728	0.143423654363755
136.904827927654	1.36904827927654	0.684524139638268	0.456349426425512	0.342262069819134	0.273809655855307	0.228174713212756	0.195578325610934	0.171131034909567	0.152116475475171	0.136904827927654
130.682292213557	1.30682292213557	0.653411461067785	0.435607640711857	0.326705730533893	0.261364584427114	0.217803820355928	0.18668898887651	0.163352865266946	0.145202546903952	0.130682292213557
124.742580350886	1.24742580350886	0.623712901754429	0.415808601169619	0.311856450877215	0.249485160701772	0.20790430058481	0.178203686215551	0.155928225438607	0.13860286705654	0.124742580350886
119.072837559111	1.19072837559111	0.595364187795557	0.396909458530371	0.297682093897778	0.238145675118223	0.198454729265186	0.170104053655873	0.148841046948889	0.132303152843457	0.119072837559111
113.660793327319	1.13660793327319	0.568303966636595	0.378869311091064	0.284151983318298	0.227321586654638	0.189434655545532	0.16237256189617	0.142075991659149	0.126289770363688	0.113660793327319
108.494734858252	1.08494734858252	0.542473674291262	0.361649116194175	0.271236837145631	0.216989469716505	0.180824558097087	0.154992478368932	0.135618418572815	0.120549705398058	0.108494734858252
103.563481719366	1.03563481719366	0.517817408596831	0.345211605731221	0.258908704298416	0.207126963438733	0.17260580286561	0.147947831027666	0.129454352149208	0.11507053524374	0.103563481719366
98.8563616460299	0.988563616460298	0.494281808230149	0.329521205486766	0.247140904115075	0.19771272329206	0.164760602743383	0.141223373780043	0.123570452057537	0.109840401828922	0.0988563616460299
94.36318744451	0.943631874445099	0.47181593722255	0.314543958148366	0.235907968611275	0.18872637488902	0.157271979074183	0.134804553492157	0.117953984305637	0.104847986049456	0.09436318744451
90.0742349447506	0.900742349447505	0.450371174723753	0.300247449815835	0.225185587361876	0.180148469889501	0.150123724907918	0.128677478492501	0.112592793680938	0.100082483271945	0.0900742349447506
85.980221955232	0.859802219552319	0.42990110977616	0.286600739850773	0.21495055488808	0.171960443910464	0.143300369925387	0.122828888507474	0.10747527744404	0.0955335799502578	0.0859802219552319
82.0722881743642	0.820722881743641	0.410361440871821	0.273574293914547	0.20518072043591	0.164144576348728	0.136787146957274	0.117246125963377	0.102590360217955	0.0911914313048491	0.0820722881743641
78.3419760149386	0.783419760149385	0.391709880074692	0.261139920049795	0.195854940037346	0.156683952029877	0.130569960024898	0.111917108592769	0.0979274700186731	0.0870466400165985	0.0783419760149385
