a0	a0.1	a0.2	a0.3	a0.4	a0.5	a0.6	a0.7	a0.8	a0.9	a1
0.690251572327044	0.626315990335367	0.630220791131764	0.629750337487835	0.628751989549236	0.630300663591421	0.628149996946938	0.628287756119379	0.629098447392131	0.633995135684305	0.630136929649343
0.690251572327044	0.649955866761367	0.655660377358491	0.654448210232767	0.65251572327044	0.654051811311202	0.651873064882031	0.654081798517074	0.65251572327044	0.656837173356518	0.650927751181201
0.690251572327044	0.669811320754717	0.67374213836478	0.675260538489526	0.673512921953275	0.675732785997847	0.673796802302364	0.675707547169811	0.675551096717669	0.676506814830798	0.672955974842767
0.690251572327044	0.685534591194969	0.689858490566038	0.69177661133967	0.691823899371069	0.693619910212539	0.692065795839381	0.692610062893082	0.693396226415094	0.694182389937107	0.691430817610063
0.690251572327044	0.69811320754717	0.704402515723271	0.704402515723271	0.705188679245283	0.706761006289308	0.705974842767296	0.705974842767296	0.707154088050314	0.707547169811321	0.705974842767296
0.690251572327044	0.706761006289308	0.713050314465409	0.714622641509434	0.716194968553459	0.716981132075472	0.716981132075472	0.715408805031447	0.717767295597484	0.719732704402516	0.716194968553459
0.690251572327044	0.714229559748428	0.720125786163522	0.721698113207547	0.723663522012579	0.724842767295597	0.724734195627832	0.722877358490566	0.72562893081761	0.72562893081761	0.724056603773585
0.690251572327044	0.719339622641509	0.724842767295597	0.727201257861635	0.727987421383648	0.729559748427673	0.729559748427673	0.727987421383648	0.730345911949686	0.731918238993711	0.730345911949686
0.691037735849057	0.72248427672956	0.72877358490566	0.730345911949686	0.731918238993711	0.733490566037736	0.73309748427673	0.732704402515723	0.733490566037736	0.735062893081761	0.733490566037736
0.691037735849057	0.724449685534591	0.731132075471698	0.731918238993711	0.733883647798742	0.734669811320755	0.735062893081761	0.734276729559748	0.735849056603774	0.737421383647799	0.735062893081761
