ENSG00000041515.15|MYO16	ENSG00000041515.15	MYO16
ENSG00000042062.11|FAM65C	ENSG00000042062.11	FAM65C
ENSG00000042493.15|CAPG	ENSG00000042493.15	CAPG
ENSG00000042781.12|USH2A	ENSG00000042781.12	USH2A
ENSG00000043355.11|ZIC2	ENSG00000043355.11	ZIC2
ENSG00000043462.11|LCP2	ENSG00000043462.11	LCP2
ENSG00000043591.5|ADRB1	ENSG00000043591.5	ADRB1
ENSG00000044524.10|EPHA3	ENSG00000044524.10	EPHA3
ENSG00000046774.9|MAGEC2	ENSG00000046774.9	MAGEC2
ENSG00000047457.13|CP	ENSG00000047457.13	CP
ENSG00000048052.21|HDAC9	ENSG00000048052.21	HDAC9
ENSG00000048740.18|CELF2	ENSG00000048740.18	CELF2
ENSG00000049192.14|ADAMTS6	ENSG00000049192.14	ADAMTS6
ENSG00000049540.16|ELN	ENSG00000049540.16	ELN
ENSG00000050030.13|KIAA2022	ENSG00000050030.13	KIAA2022
ENSG00000050555.17|LAMC3	ENSG00000050555.17	LAMC3
ENSG00000050628.20|PTGER3	ENSG00000050628.20	PTGER3
ENSG00000050730.15|TNIP3	ENSG00000050730.15	TNIP3
ENSG00000051341.13|POLQ	ENSG00000051341.13	POLQ
ENSG00000051523.10|CYBA	ENSG00000051523.10	CYBA
ENSG00000052344.15|PRSS8	ENSG00000052344.15	PRSS8
ENSG00000053108.16|FSTL4	ENSG00000053108.16	FSTL4
ENSG00000053524.12|MCF2L2	ENSG00000053524.12	MCF2L2
ENSG00000054803.3|CBLN4	ENSG00000054803.3	CBLN4
ENSG00000057657.15|PRDM1	ENSG00000057657.15	PRDM1
ENSG00000058085.14|LAMC2	ENSG00000058085.14	LAMC2
ENSG00000058404.19|CAMK2B	ENSG00000058404.19	CAMK2B
ENSG00000060140.8|STYK1	ENSG00000060140.8	STYK1
ENSG00000060566.13|CREB3L3	ENSG00000060566.13	CREB3L3
ENSG00000060709.14|RIMBP2	ENSG00000060709.14	RIMBP2
ENSG00000060718.20|COL11A1	ENSG00000060718.20	COL11A1
ENSG00000060982.14|BCAT1	ENSG00000060982.14	BCAT1
ENSG00000061656.9|SPAG4	ENSG00000061656.9	SPAG4
ENSG00000062524.15|LTK	ENSG00000062524.15	LTK
ENSG00000064201.15|TSPAN32	ENSG00000064201.15	TSPAN32
ENSG00000064205.10|WISP2	ENSG00000064205.10	WISP2
ENSG00000064300.8|NGFR	ENSG00000064300.8	NGFR
ENSG00000064787.13|BCAS1	ENSG00000064787.13	BCAS1
ENSG00000064886.13|CHI3L2	ENSG00000064886.13	CHI3L2
ENSG00000065154.11|OAT	ENSG00000065154.11	OAT
ENSG00000065320.8|NTN1	ENSG00000065320.8	NTN1
ENSG00000065325.12|GLP2R	ENSG00000065325.12	GLP2R
ENSG00000065328.16|MCM10	ENSG00000065328.16	MCM10
ENSG00000065357.19|DGKA	ENSG00000065357.19	DGKA
ENSG00000065675.14|PRKCQ	ENSG00000065675.14	PRKCQ
ENSG00000065717.14|TLE2	ENSG00000065717.14	TLE2
ENSG00000066279.17|ASPM	ENSG00000066279.17	ASPM
ENSG00000066468.22|FGFR2	ENSG00000066468.22	FGFR2
ENSG00000066813.14|ACSM2B	ENSG00000066813.14	ACSM2B
ENSG00000067225.17|PKM	ENSG00000067225.17	PKM
ENSG00000067445.20|TRO	ENSG00000067445.20	TRO
ENSG00000067840.12|PDZD4	ENSG00000067840.12	PDZD4
ENSG00000068078.17|FGFR3	ENSG00000068078.17	FGFR3
ENSG00000068366.19|ACSL4	ENSG00000068366.19	ACSL4
ENSG00000068781.21|STON1-GTF2A1L	ENSG00000068781.21	STON1-GTF2A1L
ENSG00000069011.15|PITX1	ENSG00000069011.15	PITX1
ENSG00000069188.16|SDK2	ENSG00000069188.16	SDK2
ENSG00000069431.11|ABCC9	ENSG00000069431.11	ABCC9
ENSG00000069812.11|HES2	ENSG00000069812.11	HES2
ENSG00000070019.4|GUCY2C	ENSG00000070019.4	GUCY2C
ENSG00000070190.12|DAPP1	ENSG00000070190.12	DAPP1
ENSG00000070404.9|FSTL3	ENSG00000070404.9	FSTL3
