ENSG00000101204.16|CHRNA4	ENSG00000101204.16	CHRNA4
ENSG00000101210.10|EEF1A2	ENSG00000101210.10	EEF1A2
ENSG00000101282.8|RSPO4	ENSG00000101282.8	RSPO4
ENSG00000101311.15|FERMT1	ENSG00000101311.15	FERMT1
ENSG00000101443.17|WFDC2	ENSG00000101443.17	WFDC2
ENSG00000101938.14|CHRDL1	ENSG00000101938.14	CHRDL1
ENSG00000101981.10|F9	ENSG00000101981.10	F9
ENSG00000102452.15|NALCN	ENSG00000102452.15	NALCN
ENSG00000103154.9|NECAB2	ENSG00000103154.9	NECAB2
ENSG00000103316.10|CRYM	ENSG00000103316.10	CRYM
ENSG00000103522.15|IL21R	ENSG00000103522.15	IL21R
ENSG00000103569.9|AQP9	ENSG00000103569.9	AQP9
ENSG00000103742.11|IGDCC4	ENSG00000103742.11	IGDCC4
ENSG00000104059.4|FAM189A1	ENSG00000104059.4	FAM189A1
ENSG00000104369.4|JPH1	ENSG00000104369.4	JPH1
ENSG00000104371.4|DKK4	ENSG00000104371.4	DKK4
ENSG00000104537.16|ANXA13	ENSG00000104537.16	ANXA13
ENSG00000105289.14|TJP3	ENSG00000105289.14	TJP3
ENSG00000105369.9|CD79A	ENSG00000105369.9	CD79A
ENSG00000105398.3|SULT2A1	ENSG00000105398.3	SULT2A1
ENSG00000105426.16|PTPRS	ENSG00000105426.16	PTPRS
ENSG00000105492.15|SIGLEC6	ENSG00000105492.15	SIGLEC6
ENSG00000105501.12|SIGLEC5	ENSG00000105501.12	SIGLEC5
ENSG00000105509.10|HAS1	ENSG00000105509.10	HAS1
ENSG00000105523.3|FAM83E	ENSG00000105523.3	FAM83E
ENSG00000105664.10|COMP	ENSG00000105664.10	COMP
ENSG00000105697.7|HAMP	ENSG00000105697.7	HAMP
ENSG00000105717.13|PBX4	ENSG00000105717.13	PBX4
ENSG00000105855.9|ITGB8	ENSG00000105855.9	ITGB8
ENSG00000106006.6|HOXA6	ENSG00000106006.6	HOXA6
ENSG00000106031.7|HOXA13	ENSG00000106031.7	HOXA13
ENSG00000106128.18|GHRHR	ENSG00000106128.18	GHRHR
ENSG00000106236.3|NPTX2	ENSG00000106236.3	NPTX2
ENSG00000106333.12|PCOLCE	ENSG00000106333.12	PCOLCE
ENSG00000106536.19|POU6F2	ENSG00000106536.19	POU6F2
ENSG00000106624.10|AEBP1	ENSG00000106624.10	AEBP1
ENSG00000106633.15|GCK	ENSG00000106633.15	GCK
ENSG00000107165.12|TYRP1	ENSG00000107165.12	TYRP1
ENSG00000107317.12|PTGDS	ENSG00000107317.12	PTGDS
ENSG00000107485.15|GATA3	ENSG00000107485.15	GATA3
ENSG00000107518.16|ATRNL1	ENSG00000107518.16	ATRNL1
ENSG00000107807.12|TLX1	ENSG00000107807.12	TLX1
ENSG00000107984.9|DKK1	ENSG00000107984.9	DKK1
ENSG00000108602.17|ALDH3A1	ENSG00000108602.17	ALDH3A1
ENSG00000108813.10|DLX4	ENSG00000108813.10	DLX4
ENSG00000108821.13|COL1A1	ENSG00000108821.13	COL1A1
ENSG00000108830.9|RND2	ENSG00000108830.9	RND2
ENSG00000109181.11|UGT2B10	ENSG00000109181.11	UGT2B10
ENSG00000109193.10|SULT1E1	ENSG00000109193.10	SULT1E1
ENSG00000109265.13|KIAA1211	ENSG00000109265.13	KIAA1211
ENSG00000109511.11|ANXA10	ENSG00000109511.11	ANXA10
ENSG00000109610.5|SOD3	ENSG00000109610.5	SOD3
ENSG00000109625.18|CPZ	ENSG00000109625.18	CPZ
ENSG00000109758.8|HGFAC	ENSG00000109758.8	HGFAC
ENSG00000109819.8|PPARGC1A	ENSG00000109819.8	PPARGC1A
ENSG00000109943.8|CRTAM	ENSG00000109943.8	CRTAM
ENSG00000109956.12|B3GAT1	ENSG00000109956.12	B3GAT1
ENSG00000110243.11|APOA5	ENSG00000110243.11	APOA5
ENSG00000110244.6|APOA4	ENSG00000110244.6	APOA4
ENSG00000110436.11|SLC1A2	ENSG00000110436.11	SLC1A2
ENSG00000110777.11|POU2AF1	ENSG00000110777.11	POU2AF1
ENSG00000110881.11|ASIC1	ENSG00000110881.11	ASIC1
ENSG00000111249.13|CUX2	ENSG00000111249.13	CUX2
ENSG00000111344.11|RASAL1	ENSG00000111344.11	RASAL1
ENSG00000111537.4|IFNG	ENSG00000111537.4	IFNG
ENSG00000111700.12|SLCO1B3	ENSG00000111700.12	SLCO1B3
ENSG00000111713.2|GYS2	ENSG00000111713.2	GYS2
ENSG00000111728.10|ST8SIA1	ENSG00000111728.10	ST8SIA1
ENSG00000112175.7|BMP5	ENSG00000112175.7	BMP5
ENSG00000112214.10|FHL5	ENSG00000112214.10	FHL5
ENSG00000112232.8|KHDRBS2	ENSG00000112232.8	KHDRBS2
ENSG00000112293.14|GPLD1	ENSG00000112293.14	GPLD1
ENSG00000112299.7|VNN1	ENSG00000112299.7	VNN1
ENSG00000112303.13|VNN2	ENSG00000112303.13	VNN2
ENSG00000112379.8|ARFGEF3	ENSG00000112379.8	ARFGEF3
ENSG00000112494.9|UNC93A	ENSG00000112494.9	UNC93A
ENSG00000112796.9|ENPP5	ENSG00000112796.9	ENPP5
ENSG00000112818.9|MEP1A	ENSG00000112818.9	MEP1A
ENSG00000112936.18|C7	ENSG00000112936.18	C7
ENSG00000113249.12|HAVCR1	ENSG00000113249.12	HAVCR1
ENSG00000113296.14|THBS4	ENSG00000113296.14	THBS4
ENSG00000113303.11|BTNL8	ENSG00000113303.11	BTNL8
ENSG00000113600.10|C9	ENSG00000113600.10	C9
ENSG00000113805.8|CNTN3	ENSG00000113805.8	CNTN3
ENSG00000113905.4|HRG	ENSG00000113905.4	HRG
ENSG00000114200.9|BCHE	ENSG00000114200.9	BCHE
ENSG00000114805.16|PLCH1	ENSG00000114805.16	PLCH1
ENSG00000115009.11|CCL20	ENSG00000115009.11	CCL20
ENSG00000115085.13|ZAP70	ENSG00000115085.13	ZAP70
ENSG00000115165.9|CYTIP	ENSG00000115165.9	CYTIP
ENSG00000115361.7|ACADL	ENSG00000115361.7	ACADL
ENSG00000115386.5|REG1A	ENSG00000115386.5	REG1A
ENSG00000115457.9|IGFBP2	ENSG00000115457.9	IGFBP2
ENSG00000116147.16|TNR	ENSG00000116147.16	TNR
ENSG00000116678.19|LEPR	ENSG00000116678.19	LEPR
ENSG00000116690.12|PRG4	ENSG00000116690.12	PRG4
ENSG00000116761.11|CTH	ENSG00000116761.11	CTH
ENSG00000116785.13|CFHR3	ENSG00000116785.13	CFHR3
ENSG00000116824.4|CD2	ENSG00000116824.4	CD2
ENSG00000116882.14|HAO2	ENSG00000116882.14	HAO2
ENSG00000117069.14|ST6GALNAC5	ENSG00000117069.14	ST6GALNAC5
ENSG00000117215.14|PLA2G2D	ENSG00000117215.14	PLA2G2D
ENSG00000117322.17|CR2	ENSG00000117322.17	CR2
ENSG00000117594.9|HSD11B1	ENSG00000117594.9	HSD11B1
ENSG00000117600.12|PLPPR4	ENSG00000117600.12	PLPPR4
ENSG00000117650.12|NEK2	ENSG00000117650.12	NEK2
ENSG00000118017.3|A4GNT	ENSG00000118017.3	A4GNT
ENSG00000118137.9|APOA1	ENSG00000118137.9	APOA1
ENSG00000118271.9|TTR	ENSG00000118271.9	TTR
ENSG00000118520.14|ARG1	ENSG00000118520.14	ARG1
ENSG00000118777.10|ABCG2	ENSG00000118777.10	ABCG2
ENSG00000118785.13|SPP1	ENSG00000118785.13	SPP1
ENSG00000119888.10|EPCAM	ENSG00000119888.10	EPCAM
ENSG00000120440.13|TTLL2	ENSG00000120440.13	TTLL2
ENSG00000120498.13|TEX11	ENSG00000120498.13	TEX11
ENSG00000120659.14|TNFSF11	ENSG00000120659.14	TNFSF11
ENSG00000120729.9|MYOT	ENSG00000120729.9	MYOT
ENSG00000120907.17|ADRA1A	ENSG00000120907.17	ADRA1A
ENSG00000121075.9|TBX4	ENSG00000121075.9	TBX4
ENSG00000121440.14|PDZRN3	ENSG00000121440.14	PDZRN3
ENSG00000121753.12|ADGRB2	ENSG00000121753.12	ADGRB2
ENSG00000121904.17|CSMD2	ENSG00000121904.17	CSMD2
ENSG00000122025.14|FLT3	ENSG00000122025.14	FLT3
ENSG00000122121.10|XPNPEP2	ENSG00000122121.10	XPNPEP2
ENSG00000122176.10|FMOD	ENSG00000122176.10	FMOD
ENSG00000122756.14|CNTFR	ENSG00000122756.14	CNTFR
ENSG00000122787.14|AKR1D1	ENSG00000122787.14	AKR1D1
ENSG00000122824.10|NUDT10	ENSG00000122824.10	NUDT10
ENSG00000123201.14|GUCY1B2	ENSG00000123201.14	GUCY1B2
ENSG00000123496.7|IL13RA2	ENSG00000123496.7	IL13RA2
ENSG00000124003.12|MOGAT1	ENSG00000124003.12	MOGAT1
ENSG00000124107.5|SLPI	ENSG00000124107.5	SLPI
ENSG00000124203.6|ZNF831	ENSG00000124203.6	ZNF831
ENSG00000124212.5|PTGIS	ENSG00000124212.5	PTGIS
ENSG00000124253.10|PCK1	ENSG00000124253.10	PCK1
ENSG00000124256.14|ZBP1	ENSG00000124256.14	ZBP1
ENSG00000124568.10|SLC17A1	ENSG00000124568.10	SLC17A1
ENSG00000124610.4|HIST1H1A	ENSG00000124610.4	HIST1H1A
ENSG00000124657.1|OR2B6	ENSG00000124657.1	OR2B6
ENSG00000124664.10|SPDEF	ENSG00000124664.10	SPDEF
ENSG00000124713.5|GNMT	ENSG00000124713.5	GNMT
ENSG00000124731.12|TREM1	ENSG00000124731.12	TREM1
ENSG00000124875.9|CXCL6	ENSG00000124875.9	CXCL6
ENSG00000125144.13|MT1G	ENSG00000125144.13	MT1G
ENSG00000125675.17|GRIA3	ENSG00000125675.17	GRIA3
ENSG00000125740.13|FOSB	ENSG00000125740.13	FOSB
ENSG00000125780.11|TGM3	ENSG00000125780.11	TGM3
ENSG00000126010.5|GRPR	ENSG00000126010.5	GRPR
ENSG00000126231.13|PROZ	ENSG00000126231.13	PROZ
ENSG00000126778.8|SIX1	ENSG00000126778.8	SIX1
ENSG00000127074.14|RGS13	ENSG00000127074.14	RGS13
ENSG00000127863.15|TNFRSF19	ENSG00000127863.15	TNFRSF19
ENSG00000128298.16|BAIAP2L2	ENSG00000128298.16	BAIAP2L2
ENSG00000128422.15|KRT17	ENSG00000128422.15	KRT17
ENSG00000128573.24|FOXP2	ENSG00000128573.24	FOXP2
ENSG00000128683.13|GAD1	ENSG00000128683.13	GAD1
ENSG00000128709.12|HOXD9	ENSG00000128709.12	HOXD9
ENSG00000128710.5|HOXD10	ENSG00000128710.5	HOXD10
ENSG00000129009.12|ISLR	ENSG00000129009.12	ISLR
ENSG00000129195.15|FAM64A	ENSG00000129195.15	FAM64A
ENSG00000129214.14|SHBG	ENSG00000129214.14	SHBG
ENSG00000129965.13|INS-IGF2	ENSG00000129965.13	INS-IGF2
ENSG00000130054.4|FAM155B	ENSG00000130054.4	FAM155B
ENSG00000130173.13|ANGPTL8	ENSG00000130173.13	ANGPTL8
ENSG00000130234.10|ACE2	ENSG00000130234.10	ACE2
ENSG00000130294.15|KIF1A	ENSG00000130294.15	KIF1A
ENSG00000130383.7|FUT5	ENSG00000130383.7	FUT5
ENSG00000130427.2|EPO	ENSG00000130427.2	EPO
ENSG00000130595.17|TNNT3	ENSG00000130595.17	TNNT3
ENSG00000130600.17|H19	ENSG00000130600.17	H19
ENSG00000130649.9|CYP2E1	ENSG00000130649.9	CYP2E1
ENSG00000130768.14|SMPDL3B	ENSG00000130768.14	SMPDL3B
ENSG00000130822.15|PNCK	ENSG00000130822.15	PNCK
ENSG00000130829.17|DUSP9	ENSG00000130829.17	DUSP9
ENSG00000130876.11|SLC7A10	ENSG00000130876.11	SLC7A10
ENSG00000131094.3|C1QL1	ENSG00000131094.3	C1QL1
ENSG00000131142.13|CCL25	ENSG00000131142.13	CCL25
ENSG00000131355.14|ADGRE3	ENSG00000131355.14	ADGRE3
ENSG00000131459.12|GFPT2	ENSG00000131459.12	GFPT2
ENSG00000131482.9|G6PC	ENSG00000131482.9	G6PC
ENSG00000132031.12|MATN3	ENSG00000132031.12	MATN3
ENSG00000132164.9|SLC6A11	ENSG00000132164.9	SLC6A11
ENSG00000132329.10|RAMP1	ENSG00000132329.10	RAMP1
ENSG00000132465.10|JCHAIN	ENSG00000132465.10	JCHAIN
ENSG00000132677.12|RHBG	ENSG00000132677.12	RHBG
ENSG00000132692.18|BCAN	ENSG00000132692.18	BCAN
ENSG00000132693.12|CRP	ENSG00000132693.12	CRP
ENSG00000132704.15|FCRL2	ENSG00000132704.15	FCRL2
ENSG00000132821.11|VSTM2L	ENSG00000132821.11	VSTM2L
ENSG00000132854.18|KANK4	ENSG00000132854.18	KANK4
ENSG00000132938.19|MTUS2	ENSG00000132938.19	MTUS2
ENSG00000132970.12|WASF3	ENSG00000132970.12	WASF3
ENSG00000133063.15|CHIT1	ENSG00000133063.15	CHIT1
ENSG00000133110.14|POSTN	ENSG00000133110.14	POSTN
ENSG00000133454.15|MYO18B	ENSG00000133454.15	MYO18B
ENSG00000133477.16|FAM83F	ENSG00000133477.16	FAM83F
ENSG00000133661.15|SFTPD	ENSG00000133661.15	SFTPD
ENSG00000133665.12|DYDC2	ENSG00000133665.12	DYDC2
ENSG00000133710.15|SPINK5	ENSG00000133710.15	SPINK5
ENSG00000134028.14|ADAMDEC1	ENSG00000134028.14	ADAMDEC1
ENSG00000134121.9|CHL1	ENSG00000134121.9	CHL1
ENSG00000134184.12|GSTM1	ENSG00000134184.12	GSTM1
ENSG00000134258.16|VTCN1	ENSG00000134258.16	VTCN1
ENSG00000134339.8|SAA2	ENSG00000134339.8	SAA2
ENSG00000134343.12|ANO3	ENSG00000134343.12	ANO3
ENSG00000134365.12|CFHR4	ENSG00000134365.12	CFHR4
ENSG00000134389.9|CFHR5	ENSG00000134389.9	CFHR5
ENSG00000134612.11|FOLH1B	ENSG00000134612.11	FOLH1B
ENSG00000134668.12|SPOCD1	ENSG00000134668.12	SPOCD1
ENSG00000134760.5|DSG1	ENSG00000134760.5	DSG1
ENSG00000134775.15|FHOD3	ENSG00000134775.15	FHOD3
ENSG00000134853.11|PDGFRA	ENSG00000134853.11	PDGFRA
ENSG00000134873.9|CLDN10	ENSG00000134873.9	CLDN10
ENSG00000135094.10|SDS	ENSG00000135094.10	SDS
ENSG00000135097.6|MSI1	ENSG00000135097.6	MSI1
ENSG00000135423.12|GLS2	ENSG00000135423.12	GLS2
ENSG00000135447.16|PPP1R1A	ENSG00000135447.16	PPP1R1A
ENSG00000135480.15|KRT7	ENSG00000135480.15	KRT7
ENSG00000135697.9|BCO1	ENSG00000135697.9	BCO1
ENSG00000135919.12|SERPINE2	ENSG00000135919.12	SERPINE2
ENSG00000135925.8|WNT10A	ENSG00000135925.8	WNT10A
ENSG00000136231.13|IGF2BP3	ENSG00000136231.13	IGF2BP3
ENSG00000136541.14|ERMN	ENSG00000136541.14	ERMN
ENSG00000136542.8|GALNT5	ENSG00000136542.8	GALNT5
ENSG00000136546.13|SCN7A	ENSG00000136546.13	SCN7A
ENSG00000136573.12|BLK	ENSG00000136573.12	BLK
ENSG00000136634.5|IL10	ENSG00000136634.5	IL10
ENSG00000136872.17|ALDOB	ENSG00000136872.17	ALDOB
ENSG00000136943.10|CTSV	ENSG00000136943.10	CTSV
ENSG00000137077.7|CCL21	ENSG00000137077.7	CCL21
ENSG00000137204.14|SLC22A7	ENSG00000137204.14	SLC22A7
ENSG00000137265.14|IRF4	ENSG00000137265.14	IRF4
ENSG00000137434.11|C6orf52	ENSG00000137434.11	C6orf52
ENSG00000137558.7|PI15	ENSG00000137558.7	PI15
ENSG00000137691.12|C11orf70	ENSG00000137691.12	C11orf70
ENSG00000137868.18|STRA6	ENSG00000137868.18	STRA6
ENSG00000137869.14|CYP19A1	ENSG00000137869.14	CYP19A1
ENSG00000137968.16|SLC44A5	ENSG00000137968.16	SLC44A5
ENSG00000138109.9|CYP2C9	ENSG00000138109.9	CYP2C9
ENSG00000138115.13|CYP2C8	ENSG00000138115.13	CYP2C8
ENSG00000138435.15|CHRNA1	ENSG00000138435.15	CHRNA1
ENSG00000138755.5|CXCL9	ENSG00000138755.5	CXCL9
ENSG00000138798.11|EGF	ENSG00000138798.11	EGF
ENSG00000139269.2|INHBE	ENSG00000139269.2	INHBE
ENSG00000139304.12|PTPRQ	ENSG00000139304.12	PTPRQ
ENSG00000139329.4|LUM	ENSG00000139329.4	LUM
ENSG00000139547.7|RDH16	ENSG00000139547.7	RDH16
ENSG00000139800.8|ZIC5	ENSG00000139800.8	ZIC5
ENSG00000139874.5|SSTR1	ENSG00000139874.5	SSTR1
ENSG00000140107.10|SLC25A47	ENSG00000140107.10	SLC25A47
ENSG00000140274.13|DUOXA2	ENSG00000140274.13	DUOXA2
ENSG00000140279.12|DUOX2	ENSG00000140279.12	DUOX2
ENSG00000140297.12|GCNT3	ENSG00000140297.12	GCNT3
ENSG00000140459.17|CYP11A1	ENSG00000140459.17	CYP11A1
ENSG00000140465.13|CYP1A1	ENSG00000140465.13	CYP1A1
ENSG00000140478.15|GOLGA6D	ENSG00000140478.15	GOLGA6D
ENSG00000140505.6|CYP1A2	ENSG00000140505.6	CYP1A2
ENSG00000140538.16|NTRK3	ENSG00000140538.16	NTRK3
ENSG00000140563.14|MCTP2	ENSG00000140563.14	MCTP2
ENSG00000140873.15|ADAMTS18	ENSG00000140873.15	ADAMTS18
ENSG00000141314.12|RHBDL3	ENSG00000141314.12	RHBDL3
ENSG00000141338.13|ABCA8	ENSG00000141338.13	ABCA8
ENSG00000141431.10|ASXL3	ENSG00000141431.10	ASXL3
ENSG00000141485.16|SLC13A5	ENSG00000141485.16	SLC13A5
ENSG00000141622.13|RNF165	ENSG00000141622.13	RNF165
ENSG00000141934.9|PLPP2	ENSG00000141934.9	PLPP2
ENSG00000142235.8|LMTK3	ENSG00000142235.8	LMTK3
ENSG00000142611.16|PRDM16	ENSG00000142611.16	PRDM16
ENSG00000142675.17|CNKSR1	ENSG00000142675.17	CNKSR1
ENSG00000143061.17|IGSF3	ENSG00000143061.17	IGSF3
ENSG00000143171.12|RXRG	ENSG00000143171.12	RXRG
ENSG00000143194.12|MAEL	ENSG00000143194.12	MAEL
ENSG00000143195.12|ILDR2	ENSG00000143195.12	ILDR2
ENSG00000143196.4|DPT	ENSG00000143196.4	DPT
ENSG00000143199.17|ADCY10	ENSG00000143199.17	ADCY10
ENSG00000143217.8|NECTIN4	ENSG00000143217.8	NECTIN4
ENSG00000143257.11|NR1I3	ENSG00000143257.11	NR1I3
ENSG00000143297.18|FCRL5	ENSG00000143297.18	FCRL5
ENSG00000143520.6|FLG2	ENSG00000143520.6	FLG2
ENSG00000143546.9|S100A8	ENSG00000143546.9	S100A8
ENSG00000143816.7|WNT9A	ENSG00000143816.7	WNT9A
ENSG00000143845.14|ETNK2	ENSG00000143845.14	ETNK2
ENSG00000144057.15|ST6GAL2	ENSG00000144057.15	ST6GAL2
ENSG00000144407.9|PTH2R	ENSG00000144407.9	PTH2R
ENSG00000144481.16|TRPM8	ENSG00000144481.16	TRPM8
ENSG00000144596.12|GRIP2	ENSG00000144596.12	GRIP2
ENSG00000144681.10|STAC	ENSG00000144681.10	STAC
ENSG00000144908.13|ALDH1L1	ENSG00000144908.13	ALDH1L1
ENSG00000145103.12|ILDR1	ENSG00000145103.12	ILDR1
ENSG00000145506.13|NKD2	ENSG00000145506.13	NKD2
ENSG00000145626.11|UGT3A1	ENSG00000145626.11	UGT3A1
ENSG00000145692.14|BHMT	ENSG00000145692.14	BHMT
ENSG00000145824.12|CXCL14	ENSG00000145824.12	CXCL14
ENSG00000145826.8|LECT2	ENSG00000145826.8	LECT2
ENSG00000145850.8|TIMD4	ENSG00000145850.8	TIMD4
ENSG00000145920.14|CPLX2	ENSG00000145920.14	CPLX2
ENSG00000145934.16|TENM2	ENSG00000145934.16	TENM2
ENSG00000146166.16|LGSN	ENSG00000146166.16	LGSN
ENSG00000146242.8|TPBG	ENSG00000146242.8	TPBG
ENSG00000146374.13|RSPO3	ENSG00000146374.13	RSPO3
ENSG00000146530.11|VWDE	ENSG00000146530.11	VWDE
ENSG00000146555.18|SDK1	ENSG00000146555.18	SDK1
ENSG00000146678.9|IGFBP1	ENSG00000146678.9	IGFBP1
ENSG00000146938.14|NLGN4X	ENSG00000146938.14	NLGN4X
ENSG00000146955.10|RAB19	ENSG00000146955.10	RAB19
ENSG00000147138.1|GPR174	ENSG00000147138.1	GPR174
ENSG00000147223.5|RIPPLY1	ENSG00000147223.5	RIPPLY1
ENSG00000147257.13|GPC3	ENSG00000147257.13	GPC3
ENSG00000147481.14|SNTG1	ENSG00000147481.14	SNTG1
ENSG00000147614.3|ATP6V0D2	ENSG00000147614.3	ATP6V0D2
ENSG00000147655.10|RSPO2	ENSG00000147655.10	RSPO2
ENSG00000147697.8|GSDMC	ENSG00000147697.8	GSDMC
ENSG00000147852.15|VLDLR	ENSG00000147852.15	VLDLR
ENSG00000148053.15|NTRK2	ENSG00000148053.15	NTRK2
ENSG00000148346.11|LCN2	ENSG00000148346.11	LCN2
ENSG00000148702.14|HABP2	ENSG00000148702.14	HABP2
ENSG00000148795.6|CYP17A1	ENSG00000148795.6	CYP17A1
ENSG00000148942.14|SLC5A12	ENSG00000148942.14	SLC5A12
