gene	gene	class
ABCD3	ABCD3	2
ACP1	ACP1	2
ADD3	ADD3	2
AFP	AFP	2
AHCY	AHCY	2
ARHGAP35	ARHGAP35	2
ARID3A	ARID3A	2
ATF2	ATF2	2
ATM	ATM	2
ATP2B1	ATP2B1	2
ATP2B2	ATP2B2	2
ATP5F1	ATP5F1	2
ATXN10	ATXN10	2
BCAM	BCAM	2
BCLAF1	BCLAF1	2
BRD3	BRD3	2
BTG3	BTG3	2
NREP	NREP	2
CASC3	CASC3	2
CD46	CD46	2
CDK6	CDK6	2
CHKA	CHKA	2
CLK2	CLK2	2
COL2A1	COL2A1	2
CPD	CPD	2
CSE1L	CSE1L	2
CSNK2A1	CSNK2A1	2
CSNK2A2	CSNK2A2	2
CTNNB1	CTNNB1	2
CUL4A	CUL4A	2
CXADR	CXADR	2
DDX1	DDX1	2
DDX18	DDX18	2
DEK	DEK	2
EIF4A2	EIF4A2	2
EIF4B	EIF4B	2
ENPP1	ENPP1	2
EP300	EP300	2
ERBB3	ERBB3	2
FBL	FBL	2
FGFR3	FGFR3	2
FGFR4	FGFR4	2
FLNB	FLNB	2
GBF1	GBF1	2
GCN1	GCN1	2
GLUD1	GLUD1	2
GNAI1	GNAI1	2
GPC3	GPC3	2
GTF2I	GTF2I	2
GTF3C2	GTF3C2	2
H1F0	H1F0	2
HELZ	HELZ	2
HMGCR	HMGCR	2
HNRNPA2B1	HNRNPA2B1	2
HNRNPC	HNRNPC	2
HNRNPU	HNRNPU	2
IDI1	IDI1	2
IGF2	IGF2	2
IGF2R	IGF2R	2
ITIH2	ITIH2	2
KLF3	KLF3	2
LBR	LBR	2
MAPK6	MAPK6	2
MEST	MEST	2
NCOA4	NCOA4	2
NET1	NET1	2
NR2C1	NR2C1	2
NR5A2	NR5A2	2
NT5E	NT5E	2
NUP153	NUP153	2
PEG3	PEG3	2
PHF3	PHF3	2
PHKA2	PHKA2	2
PIGC	PIGC	2
PLXNB1	PLXNB1	2
PNN	PNN	2
POFUT1	POFUT1	2
PPARG	PPARG	2
PPP2R1A	PPP2R1A	2
PRDX3	PRDX3	2
PTOV1	PTOV1	2
RAB4A	RAB4A	2
RBM39	RBM39	2
RPL24	RPL24	2
RPL27	RPL27	2
RPL31	RPL31	2
RPS19	RPS19	2
RPS24	RPS24	2
RPS25	RPS25	2
RPS27	RPS27	2
RPS5	RPS5	2
RRP1B	RRP1B	2
SEPHS1	SEPHS1	2
SLC6A2	SLC6A2	2
SLC6A5	SLC6A5	2
SMARCA1	SMARCA1	2
SMARCC1	SMARCC1	2
SNRPE	SNRPE	2
SNTB1	SNTB1	2
SREBF2	SREBF2	2
SSB	SSB	2
SUMO1	SUMO1	2
SUZ12	SUZ12	2
TARBP1	TARBP1	2
TBCE	TBCE	2
TFIP11	TFIP11	2
TIA1	TIA1	2
TIAL1	TIAL1	2
TM9SF4	TM9SF4	2
TP53BP2	TP53BP2	2
TPR	TPR	2
TRIM26	TRIM26	2
TTC3	TTC3	2
UBE2K	UBE2K	2
ABCB4	ABCB4	3
ABCC6	ABCC6	3
ABHD2	ABHD2	3
DBNL	DBNL	3
ACAA2	ACAA2	3
ACADM	ACADM	3
ACADS	ACADS	3
ACADSB	ACADSB	3
ACADVL	ACADVL	3
ACO1	ACO1	3
ACOX1	ACOX1	3
ACOX2	ACOX2	3
ACSL1	ACSL1	3
ACY1	ACY1	3
ADH4	ADH4	3
ADH6	ADH6	3
ADK	ADK	3
AGL	AGL	3
AGXT	AGXT	3
AKR1C1	AKR1C1	3
ALAS1	ALAS1	3
ALDH1A1	ALDH1A1	3
ALDH1B1	ALDH1B1	3
ALDH2	ALDH2	3
ALDH3A2	ALDH3A2	3
ALDH4A1	ALDH4A1	3
ALDH6A1	ALDH6A1	3
ALDH7A1	ALDH7A1	3
ALDOB	ALDOB	3
ALPL	ALPL	3
AMFR	AMFR	3
AMT	AMT	3
ANXA6	ANXA6	3
APCS	APCS	3
APOA1	APOA1	3
APOC2	APOC2	3
APOC4	APOC4	3
APOH	APOH	3
AQP7	AQP7	3
ARG1	ARG1	3
ARHGEF12	ARHGEF12	3
ARSA	ARSA	3
ASCL1	ASCL1	3
ASGR1	ASGR1	3
ASGR2	ASGR2	3
ASL	ASL	3
ASS1	ASS1	3
ATOX1	ATOX1	3
ATP5D	ATP5D	3
ATP5J	ATP5J	3
AZGP1	AZGP1	3
BAAT	BAAT	3
BDH1	BDH1	3
BHMT	BHMT	3
BLOC1S1	BLOC1S1	3
BLVRB	BLVRB	3
BPHL	BPHL	3
BTD	BTD	3
C1R	C1R	3
C1S	C1S	3
C4A	C4A	3
C4BPA	C4BPA	3
C8B	C8B	3
CA2	CA2	3
CAT	CAT	3
CBR1	CBR1	3
CD14	CD14	3
