gene	gene	class
CES1	CES1	2
CES2	CES2	2
CFI	CFI	2
CLEC9A	CLEC9A	2
CLU	CLU	2
CPED1	CPED1	2
CR1	CR1	2
CREBL2	CREBL2	2
CSF2RB	CSF2RB	2
CST7	CST7	2
CTSO	CTSO	2
CXCL12	CXCL12	2
CXCL2	CXCL2	2
CXCR2P1	CXCR2P1	2
CXCR6	CXCR6	2
CYP2C8	CYP2C8	2
DCHS1	DCHS1	2
DENND1C	DENND1C	2
DNASE1L3	DNASE1L3	2
DUSP1	DUSP1	2
EIF4E3	EIF4E3	2
EOMES	EOMES	2
ETS1	ETS1	2
F9	F9	2
FBLN2	FBLN2	2
FGB	FGB	2
FGD2	FGD2	2
FGD3	FGD3	2
FGL2	FGL2	2
FHL1	FHL1	2
FLI1	FLI1	2
LINC-PINT	LINC-PINT	2
FLT4	FLT4	2
FYN	FYN	2
GATA3	GATA3	2
GBP1	GBP1	2
GBP7	GBP7	2
GIMAP1-GIMAP5	GIMAP1-GIMAP5	2
GIMAP4	GIMAP4	2
GIMAP6	GIMAP6	2
GIMAP8	GIMAP8	2
GLYAT	GLYAT	2
GLYATL1	GLYATL1	2
GMFG	GMFG	2
GNG2	GNG2	2
GPR174	GPR174	2
GRAP2	GRAP2	2
GRASP	GRASP	2
GRK5	GRK5	2
GYS2	GYS2	2
GZMA	GZMA	2
GZMH	GZMH	2
HCLS1	HCLS1	2
HIVEP1	HIVEP1	2
ARHGAP45	ARHGAP45	2
HOTAIRM1	HOTAIRM1	2
HP	HP	2
HPD	HPD	2
HPR	HPR	2
HPX	HPX	2
HRG	HRG	2
RIDA	RIDA	2
HSD11B1	HSD11B1	2
HSD17B6	HSD17B6	2
ICAM3	ICAM3	2
ID2	ID2	2
IGHM	IGHM	2
IGHV2-26	IGHV2-26	2
IGHV2OR16-5	IGHV2OR16-5	2
JCHAIN	JCHAIN	2
IGLL1	IGLL1	2
IL10RA	IL10RA	2
IL2RB	IL2RB	2
IL6ST	IL6ST	2
IRF8	IRF8	2
ITGA9	ITGA9	2
ITIH4	ITIH4	2
KAT2B	KAT2B	2
KCNA3	KCNA3	2
KIAA0922	KIAA0922	2
