gene	gene	class
HDAC2	HDAC2	2
HDDC2	HDDC2	2
HIF1A	HIF1A	2
HIST1H4A	HIST1H4A	2
HIST1H4C	HIST1H4C	2
HIST2H4A	HIST2H4A	2
HMGB2	HMGB2	2
HMGN1	HMGN1	2
HN1	HN1	2
HNRNPA1	HNRNPA1	2
HNRNPC	HNRNPC	2
IER3	IER3	2
IGF1R	IGF1R	2
ITGB1BP1	ITGB1BP1	2
ITPR3	ITPR3	2
KHDRBS1	KHDRBS1	2
PCLAF	PCLAF	2
KIF5B	KIF5B	2
KLF5	KLF5	2
KNTC1	KNTC1	2
KRT10	KRT10	2
KRT19	KRT19	2
LAMB1	LAMB1	2
LRRCC1	LRRCC1	2
LXN	LXN	2
LYAR	LYAR	2
MAPRE1	MAPRE1	2
MARCKS	MARCKS	2
MCM2	MCM2	2
MCM6	MCM6	2
MCM7	MCM7	2
METTL5	METTL5	2
MFSD10	MFSD10	2
CENPU	CENPU	2
MMD	MMD	2
MRPL42	MRPL42	2
MSH6	MSH6	2
MTHFD2	MTHFD2	2
MYH2	MYH2	2
NAA38	NAA38	2
NAP1L1	NAP1L1	2
NCBP2	NCBP2	2
NFE2L3	NFE2L3	2
NLRP2	NLRP2	2
NOP56	NOP56	2
NPM1	NPM1	2
NSF	NSF	2
NTS	NTS	2
ODC1	ODC1	2
OLIG2	OLIG2	2
OPLAH	OPLAH	2
PBX1	PBX1	2
PCNA	PCNA	2
PDCD5	PDCD5	2
PELI1	PELI1	2
PFDN4	PFDN4	2
PHLDA2	PHLDA2	2
PLP2	PLP2	2
PNP	PNP	2
PRMT1	PRMT1	2
PRMT2	PRMT2	2
PTMA	PTMA	2
RAB32	RAB32	2
RALA	RALA	2
RAN	RAN	2
RBM17	RBM17	2
RBX1	RBX1	2
RCC2	RCC2	2
RGS2	RGS2	2
RMI2	RMI2	2
RND3	RND3	2
PTBP3	PTBP3	2
RPE	RPE	2
RPL12	RPL12	2
RPL17	RPL17	2
RPL27	RPL27	2
RPL31	RPL31	2
RPL35	RPL35	2
