mad_T_thr	K2	K3	K4	K5	K6	K7	K8
1	0.952311417333333	0.860527234212963	0.883222938839286	0.896970300163952	0.928554995269156	0.920917197149123	0.925475375208333
1.25	0.948115226888889	0.854848724542683	0.901068670267857	0.925303901428571	NA	0.903798372457316	0.913660141180556
1.5	0.940269123111111	0.860339815227273	0.933862371515837	NA	0.908691642020308	0.908198560019008	NA
1.75	0.906102323557278	0.851681810655097	0.943049584289216	NA	0.911247628852708	0.915520882222222	0.921169601219093
2	0.923287263522825	0.854825532458382	0.944001657811625	0.924069587997199	0.903610424836601	0.907464344935065	0.919464202881944
2.25	0.912141719293712	0.844504162575758	0.92200180141369	0.910921094444444	NA	NA	0.911130062827381
2.5	0.865125412575366	0.852039912168459	0.918893313999236	0.907253487616883	0.915509048192831	0.912657269004329	0.923578175647686
2.75	0.877658000086133	0.844421894103438	0.914751270564304	0.909262558083364	0.916709918766997	0.92275572391983	0.915512154623016
3	0.866641556459948	0.841964779268756	0.901987779826265	0.89347708843032	0.904018780984848	0.915178075286797	0.912618449103535
