gene	gene_cluster	PID_1	PID_2	PID_3	PID_4	PID_5	PID_6	PID_7	PID_8	PID_9	PID_10	PID_11	PID_12	PID_13	PID_14	PID_16	PID_17	PID_18	PID_20	PID_21	PID_22	PID_23	PID_24	PID_25	PID_26	PID_27	PID_28	PID_29	PID_30	PID_31	PID_32	PID_33	PID_34	PID_35	PID_36	PID_37	PID_38	PID_39	PID_40	PID_41	PID_42	PID_43	PID_44	PID_45	PID_46	PID_48	PID_49	PID_50	PID_51	PID_52	PID_54	PID_55	PID_56	PID_57	PID_58	PID_59	PID_60	PID_61	PID_62	PID_65	PID_66	PID_67	PID_68	PID_69	PID_70	PID_71	PID_72	PID_73	PID_74	PID_76	PID_78
SLC7A2	MO3	0.476152207091318	0.327094956493443	-0.769370285983602	-0.394010027922078	-0.506865929881206	1.05202211947105	0.989668975015434	-0.601814671191037	0.22999555915509	0.794275522675628	0.0732485789429989	0.171323938542396	-3.08348876807621	0.862652772635603	0.466963824130644	-1.17700535739467	-0.534428810138724	1.13369487019131	0.0576472482382061	-0.444719683980237	0.554764129632593	-0.480663316875483	0.433069666611102	0.625946760652557	0.980016431481516	-0.399369426447163	-0.628498232591324	1.49855865640393	0.705429835002854	-0.551041493646803	-0.25318879171866	0.490337916106451	0.970563073178932	0.632247638346245	-1.24397333781359	-0.827136271694834	1.5427106264747	-2.8516031929579	0.10558918240312	-2.67219800791806	-0.138694489143712	0.126763162336247	-0.028211114689466	0.0435577289019856	-0.562805219142896	-0.311380371386592	-0.804269897882723	-0.416453530126894	0.499958698897332	1.47754665626029	0.52152560459432	1.04662370060452	0.465448836687768	-0.369659066235426	-0.0392012392301523	0.201318330541865	0.322755985269655	-1.30763366370763	-0.89793641262365	1.27563816807374	-1.26719044097381	1.37691274194679	0.592586183616041	-0.723083540255829	-0.66579850293916	1.48741063559785	0.750967027194948	-2.09755510378685	1.35023326407061	0.336026984885316
PDK4	MO1	0.902807293436835	-0.233346626191484	0.0821592009622646	-0.330157410065557	1.09362522743004	0.347240533344615	-1.20193601985246	0.521721536983886	0.450195980116032	0.952651821375472	-1.39174163804891	-0.743111487021095	-1.03053951093194	1.95386697553987	0.50722347191667	-0.0592150401292442	0.565969302054986	-1.15535788280796	0.728001751636619	-1.69434334139269	-1.4374279862457	0.66096997018982	1.0398243194578	1.09253329750182	0.319100807999457	0.0594636447326484	-0.520989165956586	0.232324169070848	0.828179549821005	-0.806176936667863	-0.416809651913735	0.556507383679501	0.366078674329066	0.734396314446649	0.135814149693459	0.109354061372066	1.19715677090283	-2.37764544667804	-1.71931840501171	1.20281213861714	-0.0125180347634504	1.04568093400446	-0.100580110189839	-1.12974535326123	0.318022699969061	-1.08192435116426	-1.42281326436084	0.275782427338149	-1.54698311279088	-0.606123210547602	1.32354586324774	0.974512534976422	-0.963960534857911	0.884203018963593	1.50204848627835	-0.214619613265551	-0.0810652490878471	-0.662696791223648	-0.433264897713055	1.51519974562144	-1.60402442648934	0.912262577301363	-0.0551132537305223	1.23236888492738	-0.662221317938448	-0.361979288991453	-1.4994717212052	-1.30040764296925	2.08566872307329	0.14835448115266
ABCB5	MO1	1.70559758159675	0.00547509801188831	-0.662363466517314	0.0332273700169722	-1.07441237758214	-1.07441237758214	-0.0464471037465274	1.50253135879912	1.69550302486524	-1.06229655504716	0.964091298638566	0.30073865280898	-1.07441237758214	-0.176983560071847	-0.578890825261841	0.455346936505713	0.260595871599544	0.640172252124459	-0.198536118275577	-0.728293974941912	-0.586685505425233	2.8479673560749	-1.07441237758214	-0.638697247903146	0.675551110320715	0.419676196968052	-0.035117883946573	-1.07037377007048	-1.07441237758214	-0.923103901277232	-0.437525649652321	-0.797905284736115	-1.07441237758214	-1.07441237758214	1.96356796182721	1.68913778559039	-0.24172970519473	-1.07441237758214	-0.890794684448022	0.498899756510658	-1.07441237758214	-0.724538259026114	0.55786189221637	-0.420386628427149	-0.40636262537986	-0.301814381864751	0.339289321543853	-0.508398020974103	1.47097628173491	1.55324957677943	-1.07037377007048	-1.05421934002384	1.44294789611672	1.54052480600469	-0.283285517439736	-0.314213095995591	2.12510370063117	0.486662144327726	-0.420386628427149	-1.06229655504716	-0.183469376092471	-1.07037377007048	1.10498447693348	-1.07037377007048	-0.605641739499481	1.31752239552142	0.128837237963479	0.962439040485487	0.203925157820309	-0.650813427174058
CALCR	MO1	1.10676077053977	-0.322447008031553	0.450016542935466	0.0966531370381564	-1.07887548226026	1.21566349604119	-1.07887548226026	0.486320962957893	-0.708239057109328	-1.06107521060596	1.73857827612423	0.142040344440056	-0.222996513465505	-1.07887548226026	-1.07887548226026	-0.696372209339794	0.534315606436704	-1.07294205837549	1.37577123465872	2.60368431916318	0.206856750396162	0.516801497616172	0.162881489283951	0.537217066963695	-1.07294205837549	0.667272309725756	1.03311786589597	-1.07294205837549	-1.07887548226026	0.530654713773945	-0.584993022289223	-0.672637989692974	0.270321482454308	-0.322447008031553	-1.04920836283643	0.65288240722773	-0.0973930419672197	0.405287614872783	-0.336657141569904	-0.310995777711063	-1.07887548226026	-0.196251294771075	1.68276555396426	-0.117996765998484	-1.07294205837549	0.0562066934346578	-0.313754680928924	0.870730939887967	1.80107026419067	1.16860967839186	0.152692310435462	-1.04920836283643	0.341970681201308	1.2024763160174	-1.07294205837549	-1.04920836283643	-0.413072052125418	-0.435974512766397	-0.117996765998484	-1.06107521060596	0.0061119501849561	-1.07294205837549	2.8532125450232	-1.07294205837549	-0.390169067376684	1.27252405111081	2.21480417478716	-0.708239057109328	-1.05514178672119	-1.07887548226026
CACNA1G	MO3	-0.584255946562295	2.03833475164011	-1.1238188070746	-0.0862501595197875	-1.1238188070746	-1.1238188070746	0.0399249686066221	0.381813477140836	-1.1238188070746	-1.10810757428685	-0.521176015374307	-1.1238188070746	1.54365810094835	-0.521176015374307	-1.1238188070746	-0.408023497565241	0.459063725519719	0.257686272565095	-0.953794892519275	1.61647332500715	0.7235743084896	0.0763837440299051	1.12900641068635	-1.1238188070746	0.36152113142734	0.509318113350512	0.87168261920193	-1.11858172947868	-0.257523090019727	0.351798698794765	-0.0818439088262881	0.315883939205136	-1.1238188070746	-0.126761760384094	1.54196966269048	0.735959920675191	-0.0440348083873279	-0.0283934279727763	-0.468707168533562	-0.0818439088262881	1.41875077026557	-1.1238188070746	-1.11858172947868	-0.275708762173307	0.642404000438621	1.67063074888532	1.35440773238272	0.264942130006307	1.88866378320152	-0.854289030401362	0.663042832427123	-1.09763341909502	-0.259958208513226	0.570981567937608	-1.11858172947868	-1.09763341909502	0.1518918464653	0.555175965056265	-0.275708762173307	-1.10810757428685	1.48778587069793	-1.11858172947868	-0.620549111723292	-1.11858172947868	1.99239363220472	-0.370821326355664	2.18076281539543	1.37038213745599	-1.10287049669093	-1.1238188070746
UPP2	MO3	0.0992468398400976	-0.838160791671111	-1.72672519998693	-0.811275556452146	-0.14197678918233	1.11053853251981	-0.77466349138979	-0.206357433630407	0.372324019426939	1.80649684215988	-1.10278573938229	0.395859709776599	-0.810419833310353	-0.673242457755411	1.01555359417583	0.515657645677259	-0.596205899316741	-1.00090843020396	1.28698600119723	-1.40616371198548	-0.451512036705509	-0.720818021278816	-0.94392751120665	1.62398299023672	0.0928461298579969	-0.173021863095019	-0.890675430579328	1.87990863666472	1.28223855493298	-0.849285192514419	0.742305336039634	1.30388669844516	1.69369006520916	1.21519049920577	-1.01803412647103	-1.12447022634837	1.43045641099223	-1.12620975620997	-0.333269600631707	0.179888239391957	-0.429735039129502	-0.0370239647770978	0.791778027856543	-0.467744014401704	-0.762918939064958	1.49204138480841	1.06277563501131	0.314703554759523	-0.895561312363434	-0.835312125675536	0.226726030801221	0.924281304845097	0.553862545205478	-1.72672519998693	-0.106436525614946	1.31840062195706	-1.72672519998693	0.0158361021406729	0.855000109073341	1.68941607503069	-0.901568224502792	1.56166486983689	-0.435627634586597	-0.0170758358802728	-1.72672519998693	-0.684406836398007	-0.486889745915456	-0.604632955090706	0.810787306220658	-0.0991124606272971
PROM1	MO1	-0.252302578944213	-0.172674387671053	-1.15384516143549	-1.15017573869775	-0.656850844618344	-1.15384516143549	-0.486536602684979	-0.098905409791599	0.443613312884233	-0.494708450230594	1.57945406351694	-0.0475892410181209	2.66046904883328	-0.488229185101416	-0.208328496899407	0.0953192328078184	2.26889714031005	-0.441801798516202	-0.736971706376564	0.700454591445536	-0.242289699586004	0.260991513983428	-1.15384516143549	-0.248443867020107	-0.0186014172280775	-0.747209204580921	0.83952013825041	-0.552240370248808	1.02565678452427	0.845406124395475	-1.15384516143549	-0.902614654210793	0.31710846492103	0.859691753360431	-0.239094148064815	0.506560102896172	-0.786802084687203	-0.177435140358266	-0.516817038247667	-0.898945231473053	-1.15384516143549	-1.15384516143549	-1.15017573869775	0.0812450632010552	-0.0878209721283848	0.562717789903881	-0.680669517819086	-1.15017573869775	0.670625889340103	0.046907226893642	1.29549727107148	-1.13549804774679	0.346868711759065	-0.705327351471025	-0.655144648938504	0.0376359462655766	-0.516817038247667	2.86824115739589	-0.559606442251095	-0.293895312269455	1.66879142872429	-1.15017573869775	0.884840604458303	-1.15017573869775	0.624364454918278	1.74636725847679	0.793111615758769	0.42941860107129	-0.477775819434525	2.74212107859901
SLC13A2	MO3	0.421651922550612	-0.00107727164146933	-1.09946980343972	-1.09484613204369	-0.131291146756975	0.504770594413823	1.49525486131601	-1.09946980343972	-0.109221600672056	-0.268921846583366	-0.967855471719939	-1.09946980343972	-1.09946980343972	-1.09946980343972	0.402918722339218	-1.09946980343972	-0.34141518190041	1.81979321959584	1.32944949861914	0.677699784572261	1.22337800056075	-0.503242863930609	-1.09946980343972	1.12225461913795	-0.459648189565815	-1.09946980343972	-0.251151690021106	2.23886913751926	0.537241256958662	-1.09022246064766	-1.09946980343972	0.479564009198711	-0.175128419903612	0.622657265771143	-1.07635144645956	-1.09484613204369	-0.146158286246274	-0.889251832741025	-1.09946980343972	-1.09946980343972	1.33933891135217	-1.09946980343972	0.723349197104482	1.99164096646397	0.35307202414875	1.80817706714942	-0.503242863930609	1.20051200349187	0.906973481169254	1.58909239686519	-1.09484613204369	0.839777661911815	0.400159467507349	-1.09946980343972	-1.09484613204369	0.702823461449472	0.461039100870717	-0.598483714992267	-0.350696831590916	1.07470852685408	-1.09946980343972	1.25401941111233	-0.655146867170879	1.01390101802687	-1.09946980343972	-0.147216082281582	1.6399482896515	-0.245112042233409	0.222736849642323	-0.614505036564879
SYT13	MO1	0.920888664961495	-0.384493140703293	-0.476630883243275	-0.842262508658723	-0.845881639391559	-0.528728655360414	0.173445044986034	-0.845881639391559	0.767508011980801	-0.83502424719305	1.51124084812025	-0.380874009970457	1.15791327617928	-0.845881639391559	-0.845881639391559	0.628181452874799	2.13778555340259	0.108820176596753	0.145277140460668	-0.535713408242821	-0.845881639391559	-0.627048107200003	-0.845881639391559	-0.845881639391559	-0.842262508658723	-0.845881639391559	-0.0369383076576852	-0.842262508658723	0.676065228216556	2.35479209750668	1.12023643412762	-0.598094421971403	0.441792991335887	1.14005834378017	0.0563320715916369	0.380023211417144	-0.845881639391559	-0.17158653049626	-0.845881639391559	-0.845881639391559	-0.462661057795504	0.233915633375915	-0.842262508658723	-0.259787377446199	-0.052332640352653	0.847154616187412	-0.379191198895671	-0.842262508658723	1.44155252140773	-0.659620603478484	-0.842262508658723	-0.827785985727378	0.50154621117489	-0.845881639391559	-0.842262508658723	-0.827785985727378	-0.43977047949023	2.62331682853061	-0.259787377446199	-0.83502424719305	1.09984133293688	0.0407152395600334	0.596385434525563	-0.842262508658723	2.70636662402766	0.394635599604337	-0.842262508658723	1.01463252663537	-0.831405116460214	2.92080291717407
INSRR	MO3	-1.25678314614377	2.28278925022996	1.01220509156846	0.442394088206044	-0.0126673041265006	-0.460144732249886	-0.30651533859171	0.337682209903907	0.393000238417295	-1.24110703535102	-1.10804125762897	-0.0457434686443347	1.76144121362927	-0.095640885163787	-0.294039715159822	0.302248836134282	0.956209625025142	-0.55913275076517	-0.663142589656307	-1.25678314614377	1.68407379346378	-0.0592636122518257	-1.25678314614377	-0.356095198822689	-1.25155777587952	0.991725249565996	1.05128025439576	-1.25155777587952	-0.392424007475509	0.831457083221242	-0.217137551882092	-0.899023216108368	-1.01398320817935	-0.261954990914721	1.30431445919784	1.5759908336086	-0.734102573198859	3.12174942459285	0.872643395333205	-0.893797845844118	0.555121954970262	-0.804096964073554	-1.25155777587952	0.733940301144196	0.505491322658277	-0.257153798309056	-0.582966550282444	0.261863338209093	0.138525029643393	-0.987855895293732	0.808739207888039	-1.23065629482252	0.249502182741655	0.0732542885597359	-0.0114723139653715	-1.23065629482252	-0.349635605425624	-0.690601515757401	1.30536733368859	-1.24110703535102	2.0745590990937	-0.549048030784286	0.0282365305893207	-0.55913275076517	0.288113427217874	-1.25155777587952	-1.25155777587952	1.18495097684736	0.714420743819303	0.293187865932225
